id	name	no_alle	no_activity	no_bi	no_gg	x	y	prazision	noten	region1	region2	region3
1	Absdorf	1	0	0	1	48.400	15.983	1			Nordostniederösterreich	Nordostniederösterreich
2	Admont	6	0	6	0	47.583	14.467	1			Nordsteiermark	Nordsteiermark
3	Aisthofen in Riedmark	1	0	0	1	48.258	14.591	3			Nordwestniederösterreich	Nordwestniederösterreich
4	Aldersbach	1	0	1	0	48.590	13.090	1			Bayern	Bayern
5	Alland	1	0	0	1	48.057	16.078	1			Südostniederösterreich	Südostniederösterreich
6	Alt-Melon/Altmelon	1	0	1	0	48.462	14.966	3			Nordwestniederösterreich	Nordwestniederösterreich
7	Altenburg	4	1	3	0	48.647	15.593	3			Nordwestniederösterreich	Nordwestniederösterreich
8	Altenhofen	2	0	1	1	48.182	14.547	1			Oberösterreich	Oberösterreich
9	Altpölla	2	0	2	0	48.629	15.378	1			Nordwestniederösterreich	Nordwestniederösterreich
10	Altzelle	1	0	1	0	51.060	13.276	1			Meissen	Meissen
11	Apfaltersbach	1	0	0	1	47.676	15.902	1			Südostniederösterreich	Südostniederösterreich
12	Ardagger	4	0	3	1	48.183	14.833	1			Südwestniederösterreich	Südwestniederösterreich
13	Arnoldstein	1	1	0	0	46.550	13.750	1			Ostkärnten	Ostkärnten
14	Arzwald	3	0	0	3	47.217	15.283	2			Mittelsteiermark	Mittelsteiermark
15	Assisi	1	1	0	0	43.075	12.605	1			Italien	Italien
16	Atzelsdorf	0	0	0	0	48.287	15.960	1			Nordostniederösterreich	Nordostniederösterreich
17	Bad Aussee	1	0	0	1	47.609	13.784	1			Nordsteiermark	Nordsteiermark
18	Bad Ischl	2	0	0	2	47.712	13.621	1			Oberösterreich	Oberösterreich
19	Baumgartenberg	3	0	3	0	48.209	14.744	1			Nordwestniederösterreich	Nordwestniederösterreich
20	Baumkirchen	1	0	1	0	47.152	14.750	1			Nordsteiermark	Nordsteiermark
21	Bautzen	1	1	0	0	51.182	14.423	1			Bautzenland	Bautzenland
22	Bautzenland	0	0	0	0			2			Bautzenland	Bautzenland
23	Bayern	0	0	0	0			2			Bayern	Bayern
24	Benešov	1	0	1	0	49.932	18.005	1			Troppauer Teil	Troppauer Teil
25	Beňovice	2	0	0	2	49.391	13.260	1			Südwestböhmen	Südwestböhmen
26	Berchtesgaden	1	0	1	0	47.631	13.002	1			Salzburg	Salzburg
27	Beroun	2	2	0	0	49.964	14.073	1			Mittelböhmen	Mittelböhmen
28	Bítov	2	0	2	0	48.936	15.729	1			Znaimer Teil	Znaimer Teil
29	Bítov bei Stříbro	1	0	0	1	49.753	13.004	2			Südwestböhmen	Südwestböhmen
30	Blansko	2	2	0	0	49.363	16.644	1			Brünner Teil	Brünner Teil
31	Bliszyczyce	1	0	0	1	50.082	17.755	1			Troppauer Teil	Troppauer Teil
32	Blučina	1	0	0	1	49.055	16.646	1			Brünner Teil	Brünner Teil
33	Böhmen	7	0	7	0			2			Böhmen	Böhmen
34	Böhmisch Bruck	2	0	2	0	49.576	12.353	1			Bayern	Bayern
35	Böhmischmährische Höhe	0	0	0	0			2			Böhmischmährische Höhe	Böhmischmährische Höhe
36	Boletice	1	0	0	1	48.825	14.220	1			Südböhmen	Südböhmen
37	Brandenburg	1	0	1	0			2			Brandenburg	Brandenburg
38	Bratislava	17	12	5	0	48.142	17.103	1			Westungarn	Westungarn
39	Břevnov	14	0	14	0	50.074	14.383	1			Prag	Prag
40	Brixen	1	0	1	0	46.716	11.657	1			Westkärnten	Westkärnten
41	Brno	55	43	8	4	49.190	16.610	1			Brünner Teil	Brünner Teil
42	Brozany nad Ohří	1	0	0	1	50.454	14.145	1			Nordböhmen	Nordböhmen
43	Bruck an der Mur	2	0	2	0	47.410	15.269	1			Nordsteiermark	Nordsteiermark
44	Brünner Teil	0	0	0	0			2			Brünner Teil	Brünner Teil
45	Bubeneč	1	0	0	1	50.102	14.399	1			Mittelböhmen	Mittelböhmen
46	Buda	1	1	0	0	47.488	19.046	1			Westungarn	Westungarn
47	Budeč	2	0	0	2	50.192	14.246	1	hrad		Mittelböhmen	Mittelböhmen
48	Budyně nad Ohří	4	4	0	0	50.404	14.126	1			Nordböhmen	Nordböhmen
49	Čáslav	4	1	2	1	49.910	15.389	1			Ostböhmen	Ostböhmen
50	Čepihory	1	0	1	0	50.489	13.621	1			Nordwestböhmen	Nordwestböhmen
51	Cerhonice	1	0	0	1	49.418	14.056	1			Südböhmen	Südböhmen
52	Cerhovice	1	0	0	1	49.850	13.835	1			Mittelböhmen	Mittelböhmen
53	Červený Kameň	2	1	1	0	48.392	17.335	1			Westungarn	Westungarn
54	České Budějovice	3	1	1	1	48.974	14.474	1			Südböhmen	Südböhmen
55	České Kopisty	1	0	0	1	50.525	14.168	1			Nordböhmen	Nordböhmen
56	Český Krumlov	1	0	1	0	48.811	14.315	1			Südböhmen	Südböhmen
57	Cham	2	2	0	0	49.218	12.666	1			Bayern	Bayern
58	Cheb	3	1	2	0	50.071	12.380	1			Egerland	Egerland
59	Chełmno	2	2	0	0	53.348	18.424	1			Preussen	Preussen
60	Chomutov	1	0	1	0	50.464	13.411	1			Nordwestböhmen	Nordwestböhmen
61	Chomýž	1	0	0	1	50.110	17.648	1			Troppauer Teil	Troppauer Teil
62	Chotěšov	5	0	5	0	49.654	13.203	3			Südwestböhmen	Südwestböhmen
63	Chrudim	1	0	1	0	49.951	15.796	1			Ostböhmen	Ostböhmen
64	Cvilín	1	0	1	0	50.082	17.721	1			Troppauer Teil	Troppauer Teil
1	Dědice	1	0	1	0	49.295	16.977	3			Olmützer Teil	Olmützer Teil
2	Deutschlandsberg	1	0	0	1			1				
3	Diváky	2	0	0	2	48.989	16.790	1			Brünner Teil	Brünner Teil
4	Dobi	1	0	0	1	46.948	15.374	1			Mittelsteiermark	Mittelsteiermark
5	Dobra (bei St. Peter in der Au-Markt )	1	0	1	0	48.046	14.625	1			Oberösterreich	Oberösterreich
6	Dobrava pri Škocjanu	3	0	1	2	45.875	15.327	1			Krain	Krain
7	Dobrenje	1	0	0	1	46.609	15.662	1			Südsteiermark	Südsteiermark
8	Dobříš	1	1	0	0	49.783	14.175	1			Mittelböhmen	Mittelböhmen
9	Doksany	4	0	4	0	50.455	14.160	1			Nordböhmen	Nordböhmen
10	Doksy	1	0	1	0	50.565	14.656	1			Nordböhmen	Nordböhmen
11	Dolní Bukovsko	1	0	0	1	49.171	14.580	1			Südböhmen	Südböhmen
12	Dolní Černošice	1	0	0	1	49.961	14.331	1			Mittelböhmen	Mittelböhmen
13	Dolní Vltavice	1	0	0	1	48.697	14.076	1			Südböhmen	Südböhmen
14	Domažlice	4	2	1	1	49.440	12.930	1			Südwestböhmen	Südwestböhmen
15	Doubravník	2	0	2	0	49.424	16.353	1			Brünner Teil	Brünner Teil
16	Doudleby	1	0	0	1	48.894	14.500	1			Südböhmen	Südböhmen
17	Dravograd	1	0	0	1	46.589	15.024	1			Ostkärnten	Ostkärnten
18	Dřenice	1	0	0	1	49.983	15.745	1			Ostböhmen	Ostböhmen
19	Drnholec	2	0	2	0	48.857	16.486	1			Znaimer Teil	Znaimer Teil
20	Drosendorf	3	2	0	1	48.866	15.622	1			Nordwestniederösterreich	Nordwestniederösterreich
21	Dürnstein	2	0	2	0	48.407	15.525	1			Nordwestniederösterreich	Nordwestniederösterreich
22	Eferding	1	0	0	1	48.308	14.020	1			Oberösterreich	Oberösterreich
