,no,sicherheit,datum_text,tag_post,monat_post,jahr_post,tag_ante,monat_ante,jahr_ante,lokalitat_name,lokalitat_agglomeration,lokalitat_politik,bi1_lokalitatname,bi2_lokalitatname,bi3_lokalitatname,bi4_lokalitatname,bi5_lokalitatname,gg1_lokalitatname,gg2_lokalitatname,gg3_lokalitatname,gg4_lokalitatname,gg5_lokalitatname,aussteller
0,1.0,3.0,(Erste Hälfte Novembers) 1251,1.0,11.0,1251.0,15.0,11.0,1251.0,Netolice,Netolice,2.0,Strakonice,,,,,Makarov,,,,,Ja
1,2.0,2.0,"(circa 16.11.1251, oder kurz vor 16. November)",11.0,11.0,1251.0,16.0,11.0,1251.0,Enns,Enns,1.0,,,,,,,,,,,-
3,4.0,2.0,(Zwischen cca 16.11.-6.12.)1251,16.0,11.0,1251.0,6.0,12.0,1251.0,Krems an der Donau,Krems an der Donau,1.0,Neunkirchen,,,,,,,,,,Ja
4,5.0,1.0,6. 12.1251,6.0,12.0,1251.0,6.0,12.0,1251.0,Korneuburg,Wien,1.0,Niederaltaich,,,,,Absdorf,Kircheim unter Teck,,,,Ja
5,6.0,1.0,6.12.1251 (früher schlecht zu 7.12.),6.0,12.0,1251.0,6.0,12.0,1251.0,Korneuburg,Wien,1.0,Niederaltaich,,,,,Niederabsdorf,,,,,Ja
6,7.0,1.0,6. 12.1251,6.0,12.0,1251.0,6.0,12.0,1251.0,Korneuburg,Wien,1.0,Niederaltaich,,,,,,,,,,Ja
7,8.0,2.0,(6. 12) 1251,6.0,12.0,1251.0,6.0,12.0,1251.0,Korneuburg,Wien,1.0,Niederaltaich,,,,,Stein an der Donau,Ybbs an der Donau,Mauthausen,Linz,,Ja
8,9.0,2.0,6. 12.(1251),6.0,12.0,1251.0,6.0,12.0,1251.0,Korneuburg,Wien,1.0,Niederaltaich,,,,,,,,,,Ja
9,10.0,2.0,"(6.-11. 12) 1251 wahscheinlicher ist aber die Datierung 6-9.12.1251,",6.0,12.0,1251.0,11.0,12.0,1251.0,Korneuburg,Wien,1.0,Lambach,,,,,,,,,,Ja
12,12.0,1.0,12.12.1251 +,12.0,12.0,1251.0,12.0,12.0,1251.0,Wien,Wien,1.0,Příbor,Velehrad,,,,,,,,,Ja
13,13.0,1.0,21.12.1251,21.0,12.0,1251.0,21.0,12.0,1251.0,Wien,Wien,1.0,Heiligenkreuz,,,,,,,,,,Ja
14,14.0,2.0,"27.XII. (1251, nicht ausgeschlossen ist auch das Jahr 1252)",27.0,12.0,1251.0,27.0,12.0,1251.0,Wien,Wien,1.0,Salzburg,,,,,,,,,,Ja
15,15.0,2.0,29.12.(1251),29.0,12.0,1251.0,29.0,12.0,1251.0,Wien,Wien,1.0,Mondsee,Ybbs an der Donau,Stein an der Donau,,,,,,,,Ja
17,17.0,3.0,(Um 12.-31. XII) 1251,7.0,12.0,1251.0,5.0,1.0,1251.0,Wien,Wien,1.0,Wiener Neustadt,,,,,,,,,,Ja
18,18.0,3.0,(Um 12.-31. XII) 1251,7.0,12.0,1251.0,5.0,1.0,1251.0,Wien,Wien,1.0,Wiener Neustadt,Wiener Neustadt,Passau,Freising,Salzburg,,,,,,M
21,21.0,1.0,3.1.1252,3.0,1.0,1252.0,3.0,1.0,1252.0,Wien,Wien,1.0,Ebersberg,,,,,,,,,,Ja
22,22.0,1.0,11.2.1252,11.0,2.0,1252.0,11.0,2.0,1252.0,Hainburg,Hainburg,1.0,,,,,,,,,,,-
23,23.0,1.0,16.02. 1252,16.0,2.0,1252.0,16.0,2.0,1252.0,Hainburg,Hainburg,1.0,Waldhausen im Strudengau,Machland,Laa an der Thaya,,,,,,,,Ja
24,24.0,1.0,16.02.1252,16.0,2.0,1252.0,16.0,2.0,1252.0,Hainburg,Hainburg,1.0,Waldhausen im Strudengau,,,,,,,,,,Ja
25,25.0,1.0,5.3.1252,5.0,3.0,1252.0,5.0,3.0,1252.0,Hainburg,Hainburg,1.0,Regensburg,,,,,Tulln,Michelhausen,Possendorf,Michelndorf,"
",Ja
26,26.0,1.0,15.3.1252,15.0,3.0,1252.0,15.0,3.0,1252.0,Wiener Neustadt,Wiener Neustadt,1.0,Wiener Neustadt,,,,,,,,,,Ja
27,27.0,1.0,19.3.1252,19.0,3.0,1252.0,19.0,3.0,1252.0,Krems an der Donau,Krems an der Donau,1.0,Tegernsee,,,,,,,,,,Ja
28,28.0,1.0,19.3.1252,19.0,3.0,1252.0,19.0,3.0,1252.0,Krems an der Donau,Krems an der Donau,1.0,Metten,,,,,Linz,Enns,Mauthausen,,,Ja
29,29.0,1.0,19.3.1252,19.0,3.0,1252.0,19.0,3.0,1252.0,Krems an der Donau,Krems an der Donau,1.0,Metten,,,,,,,,,,Ja
30,30.0,1.0,19.3.1252,19.0,3.0,1252.0,19.0,3.0,1252.0,Krems an der Donau,Krems an der Donau,1.0,Metten,Dürnstein,,,,Eisenreichdornach,,,,,Ja
32,32.0,1.0,21.3.1252,21.0,3.0,1252.0,21.0,3.0,1252.0,Krems an der Donau,Krems an der Donau,1.0,Tegernsee,,,,,,,,,,Ja
34,34.0,3.0,(wohl 22.3.-5.6.)1252,22.0,3.0,1252.0,5.0,6.0,1252.0,Brno,Brno,2.0,Žďár nad Sázavou,,,,,,,,,,Ja
35,35.0,3.0,(wohl 22.3.-5.6.)1252+,22.0,3.0,1252.0,5.0,6.0,1252.0,Brno,Brno,2.0,Brno,,,,,,,,,,Ja
38,37.0,2.0,6.6.1252+,6.0,6.0,1252.0,6.0,6.0,1252.0,Znojmo,Znojmo,2.0,Znojmo,Praha,,,,,,,,,Ja
