,id,name,no_alle,no_activity,no_reise,no_bi,no_gg,x,y,prazision,typ,noten,region0,region1,region2,Region2shortcut,region3,geometry
0,1.0,Absdorf,1.0,0.0,0.0,0.0,1.0,48.4,15.983,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (15.983 48.4)
1,2.0,Admont,7.0,0.0,0.0,7.0,0.0,47.583,14.467,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (14.467 47.583)
2,3.0,Aisthofen in Riedmark,1.0,0.0,0.0,0.0,1.0,48.258,14.591,3.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (14.591 48.258)
3,4.0,Aldersbach,1.0,0.0,0.0,1.0,0.0,48.59,13.09,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (13.09 48.59)
4,5.0,Alland,1.0,0.0,0.0,0.0,1.0,48.057,16.078,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.078 48.057)
5,6.0,Alt-Melon/Altmelon,1.0,0.0,0.0,1.0,0.0,48.462,14.966,3.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (14.966 48.462)
6,7.0,Altenburg,3.0,0.0,0.0,3.0,0.0,48.647,15.593,3.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.593 48.647)
7,,Altenburg (bei Wilhelmsburg),,,,,,48.071,15.603,,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,SWNÖ,POINT (15.603 48.071)
8,8.0,Altenhofen,1.0,0.0,0.0,0.0,1.0,48.182,14.547,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.547 48.182)
9,9.0,Altpölla,3.0,0.0,0.0,2.0,1.0,48.629,15.378,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.378 48.629)
10,10.0,Altzelle,1.0,0.0,0.0,1.0,0.0,51.06,13.276,1.0,gemeinde,,Ausland,Meissen,Meissen,Me,Meissen,POINT (13.276 51.06)
11,11.0,Amstetten,3.0,1.0,1.0,0.0,1.0,48.124,14.87,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (14.87 48.124)
12,12.0,Apfaltersbach,1.0,0.0,0.0,0.0,1.0,47.676,15.902,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (15.902 47.676)
13,13.0,Ardagger,4.0,0.0,0.0,3.0,1.0,48.183,14.833,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (14.833 48.183)
14,14.0,Arnoldstein,2.0,1.0,1.0,0.0,0.0,46.55,13.75,1.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (13.75 46.55)
15,,Arnstein,,,,,,48.03,16.066,,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.066 48.03)
16,15.0,Arzwald,3.0,0.0,0.0,0.0,3.0,47.217,15.283,2.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.283 47.217)
17,16.0,Assisi,2.0,1.0,1.0,0.0,0.0,43.075,12.605,1.0,gemeinde,,Ausland,Italien,Italien,It,Italien,POINT (12.605 43.075)
18,17.0,Atzelsdorf,1.0,0.0,0.0,0.0,1.0,48.287,15.96,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (15.96 48.287)
