,Unnamed: 0,no,sicherheit,datum_text,tag_post,monat_post,jahr_post,tag_ante,monat_ante,jahr_ante,lokalitat_name,lokalitat_agglomeration,lokalitat_politik,bi1_lokalitatname,bi2_lokalitatname,bi3_lokalitatname,bi4_lokalitatname,bi5_lokalitatname,gg1_lokalitatname,gg2_lokalitatname,gg3_lokalitatname,gg4_lokalitatname,gg5_lokalitatname,aussteller,date_post,date_ante,date_delta,date_middle,period,invalid
14,18,18.0,3.0,(Um 12.-31. XII) 1251,7.0,12.0,1251.0,5.0,1.0,1251.0,Wien,Wien,1.0,Wiener Neustadt,Wiener Neustadt,Passau,Freising,Salzburg,,,,,,M,1251-12-07,1251-01-05,-336 days,1251-06-22,1,False
13,17,17.0,3.0,(Um 12.-31. XII) 1251,7.0,12.0,1251.0,5.0,1.0,1251.0,Wien,Wien,1.0,Wiener Neustadt,,,,,,,,,,Ja,1251-12-07,1251-01-05,-336 days,1251-06-22,1,False
0,0,1.0,3.0,(Erste Hälfte Novembers) 1251,1.0,11.0,1251.0,15.0,11.0,1251.0,Netolice,Netolice,2.0,Strakonice,,,,,Makarov,,,,,Ja,1251-11-01,1251-11-15,14 days,1251-11-08,1,False
1,1,2.0,2.0,"(circa 16.11.1251, oder kurz vor 16. November)",11.0,11.0,1251.0,16.0,11.0,1251.0,Enns,Enns,1.0,,,,,,,,,,,-,1251-11-11,1251-11-16,5 days,1251-11-13,1,False
2,3,4.0,2.0,(Zwischen cca 16.11.-6.12.)1251,16.0,11.0,1251.0,6.0,12.0,1251.0,Krems an der Donau,Krems an der Donau,1.0,Neunkirchen,,,,,,,,,,Ja,1251-11-16,1251-12-06,20 days,1251-11-26,1,False
3,4,5.0,1.0,6. 12.1251,6.0,12.0,1251.0,6.0,12.0,1251.0,Korneuburg,Wien,1.0,Niederaltaich,,,,,Absdorf,Kircheim unter Teck,,,,Ja,1251-12-06,1251-12-06,0 days,1251-12-06,1,False
4,5,6.0,1.0,6.12.1251 (früher schlecht zu 7.12.),6.0,12.0,1251.0,6.0,12.0,1251.0,Korneuburg,Wien,1.0,Niederaltaich,,,,,Niederabsdorf,,,,,Ja,1251-12-06,1251-12-06,0 days,1251-12-06,1,False
5,6,7.0,1.0,6. 12.1251,6.0,12.0,1251.0,6.0,12.0,1251.0,Korneuburg,Wien,1.0,Niederaltaich,,,,,,,,,,Ja,1251-12-06,1251-12-06,0 days,1251-12-06,1,False
6,7,8.0,2.0,(6. 12) 1251,6.0,12.0,1251.0,6.0,12.0,1251.0,Korneuburg,Wien,1.0,Niederaltaich,,,,,Stein an der Donau,Ybbs an der Donau,Mauthausen,Linz,,Ja,1251-12-06,1251-12-06,0 days,1251-12-06,1,False
7,8,9.0,2.0,6. 12.(1251),6.0,12.0,1251.0,6.0,12.0,1251.0,Korneuburg,Wien,1.0,Niederaltaich,,,,,,,,,,Ja,1251-12-06,1251-12-06,0 days,1251-12-06,1,False
