,activity,locality,traveling,domestic,date,day,month,year,period
0,True,Wien,False,True,1251-06-22,22,6,1251,1
1,False,Wien,False,True,1251-06-23,23,6,1251,1
2,False,Wien,False,True,1251-06-24,24,6,1251,1
3,False,Wien,False,True,1251-06-25,25,6,1251,1
4,False,Wien,False,True,1251-06-26,26,6,1251,1
5,False,Wien,False,True,1251-06-27,27,6,1251,1
6,False,Wien,False,True,1251-06-28,28,6,1251,1
7,False,Wien,False,True,1251-06-29,29,6,1251,1
8,False,Wien,False,True,1251-06-30,30,6,1251,1
9,False,Wien,False,True,1251-07-01,1,7,1251,1
10,False,Wien,False,True,1251-07-02,2,7,1251,1
11,False,Wien,False,True,1251-07-03,3,7,1251,1
12,False,Wien,False,True,1251-07-04,4,7,1251,1
13,False,Wien,False,True,1251-07-05,5,7,1251,1
14,False,Wien,False,True,1251-07-06,6,7,1251,1
15,False,Wien,False,True,1251-07-07,7,7,1251,1
16,False,Wien,False,True,1251-07-08,8,7,1251,1
17,False,Wien,False,True,1251-07-09,9,7,1251,1
18,False,Wien,False,True,1251-07-10,10,7,1251,1
19,False,Wien,False,True,1251-07-11,11,7,1251,1
20,False,Wien,False,True,1251-07-12,12,7,1251,1
21,False,Wien,False,True,1251-07-13,13,7,1251,1
22,False,Wien,False,True,1251-07-14,14,7,1251,1
23,False,Wien,False,True,1251-07-15,15,7,1251,1
24,False,Wien,False,True,1251-07-16,16,7,1251,1
25,False,Wien,False,True,1251-07-17,17,7,1251,1
26,False,Wien,False,True,1251-07-18,18,7,1251,1
27,False,Wien,False,True,1251-07-19,19,7,1251,1
28,False,Wien,False,True,1251-07-20,20,7,1251,1
29,False,Wien,False,True,1251-07-21,21,7,1251,1
30,False,Wien,False,True,1251-07-22,22,7,1251,1
31,False,Wien,False,True,1251-07-23,23,7,1251,1
32,False,Wien,False,True,1251-07-24,24,7,1251,1
33,False,Wien,False,True,1251-07-25,25,7,1251,1
34,False,Wien,False,True,1251-07-26,26,7,1251,1
35,False,Wien,False,True,1251-07-27,27,7,1251,1
36,False,Wien,False,True,1251-07-28,28,7,1251,1
37,False,Wien,False,True,1251-07-29,29,7,1251,1
38,False,Wien,False,True,1251-07-30,30,7,1251,1
39,False,Wien,False,True,1251-07-31,31,7,1251,1
40,False,Wien,False,True,1251-08-01,1,8,1251,1
41,False,Wien,False,True,1251-08-02,2,8,1251,1
42,False,Wien,False,True,1251-08-03,3,8,1251,1
43,False,Wien,False,True,1251-08-04,4,8,1251,1
44,False,Wien,False,True,1251-08-05,5,8,1251,1
45,False,Wien,False,True,1251-08-06,6,8,1251,1
46,False,Wien,False,True,1251-08-07,7,8,1251,1
47,False,Wien,False,True,1251-08-08,8,8,1251,1
48,False,Wien,False,True,1251-08-09,9,8,1251,1
49,False,Wien,False,True,1251-08-10,10,8,1251,1
50,False,Wien,False,True,1251-08-11,11,8,1251,1
51,False,Wien,False,True,1251-08-12,12,8,1251,1
52,False,Wien,False,True,1251-08-13,13,8,1251,1
53,False,Wien,False,True,1251-08-14,14,8,1251,1
54,False,Wien,False,True,1251-08-15,15,8,1251,1
55,False,Wien,False,True,1251-08-16,16,8,1251,1
56,False,Wien,False,True,1251-08-17,17,8,1251,1
57,False,Wien,False,True,1251-08-18,18,8,1251,1
58,False,Wien,False,True,1251-08-19,19,8,1251,1
59,False,Wien,False,True,1251-08-20,20,8,1251,1
60,False,Wien,False,True,1251-08-21,21,8,1251,1
61,False,Wien,False,True,1251-08-22,22,8,1251,1
62,False,Wien,False,True,1251-08-23,23,8,1251,1
63,False,Wien,False,True,1251-08-24,24,8,1251,1
64,False,Wien,False,True,1251-08-25,25,8,1251,1
65,False,Wien,True,False,1251-08-26,26,8,1251,1
66,False,False,True,False,1251-08-27,27,8,1251,1
67,False,False,True,False,1251-08-28,28,8,1251,1
68,False,False,True,False,1251-08-29,29,8,1251,1
69,False,False,True,False,1251-08-30,30,8,1251,1
70,False,False,True,False,1251-08-31,31,8,1251,1
71,False,False,True,False,1251-09-01,1,9,1251,1
72,False,False,True,False,1251-09-02,2,9,1251,1
73,False,False,True,False,1251-09-03,3,9,1251,1
74,False,Netolice,False,False,1251-09-04,4,9,1251,1
75,False,Netolice,False,False,1251-09-05,5,9,1251,1
76,False,Netolice,False,False,1251-09-06,6,9,1251,1
77,False,Netolice,False,False,1251-09-07,7,9,1251,1
78,False,Netolice,False,False,1251-09-08,8,9,1251,1
79,False,Netolice,False,False,1251-09-09,9,9,1251,1
80,False,Netolice,False,False,1251-09-10,10,9,1251,1
81,False,Netolice,False,False,1251-09-11,11,9,1251,1
82,False,Netolice,False,False,1251-09-12,12,9,1251,1
83,False,Netolice,False,False,1251-09-13,13,9,1251,1
84,False,Netolice,False,False,1251-09-14,14,9,1251,1
85,False,Netolice,False,False,1251-09-15,15,9,1251,1
86,False,Netolice,False,False,1251-09-16,16,9,1251,1
87,False,Netolice,False,False,1251-09-17,17,9,1251,1
88,False,Netolice,False,False,1251-09-18,18,9,1251,1
89,False,Netolice,False,False,1251-09-19,19,9,1251,1
90,False,Netolice,False,False,1251-09-20,20,9,1251,1
91,False,Netolice,False,False,1251-09-21,21,9,1251,1
92,False,Netolice,False,False,1251-09-22,22,9,1251,1
93,False,Netolice,False,False,1251-09-23,23,9,1251,1
94,False,Netolice,False,False,1251-09-24,24,9,1251,1
95,False,Netolice,False,False,1251-09-25,25,9,1251,1
96,False,Netolice,False,False,1251-09-26,26,9,1251,1
97,False,Netolice,False,False,1251-09-27,27,9,1251,1
98,False,Netolice,False,False,1251-09-28,28,9,1251,1
99,False,Netolice,False,False,1251-09-29,29,9,1251,1
100,False,Netolice,False,False,1251-09-30,30,9,1251,1
101,False,Netolice,False,False,1251-10-01,1,10,1251,1
102,False,Netolice,False,False,1251-10-02,2,10,1251,1
103,False,Netolice,False,False,1251-10-03,3,10,1251,1
104,False,Netolice,False,False,1251-10-04,4,10,1251,1
105,False,Netolice,False,False,1251-10-05,5,10,1251,1
106,False,Netolice,False,False,1251-10-06,6,10,1251,1
107,False,Netolice,False,False,1251-10-07,7,10,1251,1
108,False,Netolice,False,False,1251-10-08,8,10,1251,1
109,False,Netolice,False,False,1251-10-09,9,10,1251,1
110,False,Netolice,False,False,1251-10-10,10,10,1251,1
111,False,Netolice,False,False,1251-10-11,11,10,1251,1
112,False,Netolice,False,False,1251-10-12,12,10,1251,1
113,False,Netolice,False,False,1251-10-13,13,10,1251,1
114,False,Netolice,False,False,1251-10-14,14,10,1251,1
115,False,Netolice,False,False,1251-10-15,15,10,1251,1
116,False,Netolice,False,False,1251-10-16,16,10,1251,1
117,False,Netolice,False,False,1251-10-17,17,10,1251,1
118,False,Netolice,False,False,1251-10-18,18,10,1251,1
119,False,Netolice,False,False,1251-10-19,19,10,1251,1
120,False,Netolice,False,False,1251-10-20,20,10,1251,1
121,False,Netolice,False,False,1251-10-21,21,10,1251,1
122,False,Netolice,False,False,1251-10-22,22,10,1251,1
123,False,Netolice,False,False,1251-10-23,23,10,1251,1
124,False,Netolice,False,False,1251-10-24,24,10,1251,1
125,False,Netolice,False,False,1251-10-25,25,10,1251,1
126,False,Netolice,False,False,1251-10-26,26,10,1251,1
127,False,Netolice,False,False,1251-10-27,27,10,1251,1
128,False,Netolice,False,False,1251-10-28,28,10,1251,1
129,False,Netolice,False,False,1251-10-29,29,10,1251,1
130,False,Netolice,False,False,1251-10-30,30,10,1251,1
131,False,Netolice,False,False,1251-10-31,31,10,1251,1
132,False,Netolice,False,False,1251-11-01,1,11,1251,1
133,False,Netolice,False,False,1251-11-02,2,11,1251,1
134,False,Netolice,False,False,1251-11-03,3,11,1251,1
135,False,Netolice,False,False,1251-11-04,4,11,1251,1
136,False,Netolice,False,False,1251-11-05,5,11,1251,1
137,False,Netolice,False,False,1251-11-06,6,11,1251,1
138,False,Netolice,False,False,1251-11-07,7,11,1251,1
139,True,Netolice,True,False,1251-11-08,8,11,1251,1
140,False,False,True,False,1251-11-09,9,11,1251,1
141,False,False,True,False,1251-11-10,10,11,1251,1
142,False,False,True,False,1251-11-11,11,11,1251,1
143,False,False,True,False,1251-11-12,12,11,1251,1
144,True,Enns,False,True,1251-11-13,13,11,1251,1
145,False,Enns,False,True,1251-11-14,14,11,1251,1
146,False,Enns,False,True,1251-11-15,15,11,1251,1
147,False,Enns,False,True,1251-11-16,16,11,1251,1
148,False,Enns,True,True,1251-11-17,17,11,1251,1
149,False,False,True,True,1251-11-18,18,11,1251,1
150,False,False,True,True,1251-11-19,19,11,1251,1
151,False,False,True,True,1251-11-20,20,11,1251,1
152,False,False,True,True,1251-11-21,21,11,1251,1
153,False,Krems an der Donau,False,True,1251-11-22,22,11,1251,1
154,False,Krems an der Donau,False,True,1251-11-23,23,11,1251,1
155,False,Krems an der Donau,False,True,1251-11-24,24,11,1251,1
156,False,Krems an der Donau,False,True,1251-11-25,25,11,1251,1
157,True,Krems an der Donau,False,True,1251-11-26,26,11,1251,1
158,False,Krems an der Donau,False,True,1251-11-27,27,11,1251,1
159,False,Krems an der Donau,False,True,1251-11-28,28,11,1251,1
160,False,Krems an der Donau,False,True,1251-11-29,29,11,1251,1
161,False,Krems an der Donau,True,True,1251-11-30,30,11,1251,1
162,False,False,True,True,1251-12-01,1,12,1251,1
163,False,False,True,True,1251-12-02,2,12,1251,1
164,False,Korneuburg,False,True,1251-12-03,3,12,1251,1
165,False,Korneuburg,False,True,1251-12-04,4,12,1251,1
