,certainty,name,geometry,locality,geometry_source,date,period,domestic
0,1.0,Wiener Neustadt,POINT (16.24 47.81),Wien,POINT (16.388 48.221),1251-08-26,1,True
1,1.0,Wiener Neustadt,POINT (16.24 47.81),Wien,POINT (16.388 48.221),1251-08-26,1,True
2,1.0,Passau,POINT (13.469 48.575),Wien,POINT (16.388 48.221),1251-08-26,1,True
3,3.0,Freising,POINT (11.746 48.399),Wien,POINT (16.388 48.221),1251-08-26,1,True
4,1.0,Salzburg,POINT (13.048 47.797),Wien,POINT (16.388 48.221),1251-08-26,1,True
5,1.0,Wiener Neustadt,POINT (16.24 47.81),Wien,POINT (16.388 48.221),1251-08-26,1,True
6,1.0,Strakonice,POINT (13.902 49.261),Netolice,POINT (14.197 49.05),1251-11-08,1,False
7,1.0,Makarov,POINT (13.807 49.245),Netolice,POINT (14.197 49.05),1251-11-08,1,False
8,3.0,Neunkirchen,POINT (16.082 47.727),Krems an der Donau,POINT (15.62 48.41),1251-11-30,1,True
9,1.0,Niederaltaich,POINT (13.027 48.766),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
10,1.0,Absdorf,POINT (15.983 48.4),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
11,1.0,Kircheim unter Teck,POINT (9.449999999999999 48.647),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
12,1.0,Niederaltaich,POINT (13.027 48.766),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
13,1.0,Niederabsdorf,POINT (16.857 48.568),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
14,1.0,Niederaltaich,POINT (13.027 48.766),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
15,1.0,Niederaltaich,POINT (13.027 48.766),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
16,1.0,Stein an der Donau,POINT (15.582 48.402),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
17,1.0,Ybbs an der Donau,POINT (15.064 48.175),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
18,1.0,Mauthausen,POINT (14.516 48.241),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
19,1.0,Linz,POINT (14.286 48.306),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
20,1.0,Niederaltaich,POINT (13.027 48.766),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
21,1.0,Lambach,POINT (13.877 48.091),Korneuburg,POINT (16.33 48.34),1251-12-10,1,True
22,1.0,Příbor,POINT (18.145 49.641),Wien,POINT (16.388 48.221),1252-01-22,1,True
23,1.0,Velehrad,POINT (17.395 49.105),Wien,POINT (16.388 48.221),1252-01-22,1,True
24,1.0,Heiligenkreuz,POINT (16.131 48.056),Wien,POINT (16.388 48.221),1252-01-22,1,True
25,1.0,Salzburg,POINT (13.048 47.797),Wien,POINT (16.388 48.221),1252-01-22,1,True
26,1.0,Mondsee,POINT (13.35 47.855),Wien,POINT (16.388 48.221),1252-01-22,1,True
27,1.0,Ybbs an der Donau,POINT (15.064 48.175),Wien,POINT (16.388 48.221),1252-01-22,1,True
28,1.0,Stein an der Donau,POINT (15.582 48.402),Wien,POINT (16.388 48.221),1252-01-22,1,True
29,1.0,Ebersberg,POINT (11.973 48.086),Wien,POINT (16.388 48.221),1252-01-22,1,True
30,1.0,Waldhausen im Strudengau,POINT (14.948 48.273),Hainburg,POINT (16.946 48.146),1252-03-09,1,True
31,1.0,Waldhausen im Strudengau,POINT (14.948 48.273),Hainburg,POINT (16.946 48.146),1252-03-09,1,True
32,2.0,Machland,POINT (nan nan),Hainburg,POINT (16.946 48.146),1252-03-09,1,True
