,locality,from_date,to_date,days,domestic,geometry,no_activities,period1,period2,period3,period4,period5
0,Wien,1251-06-22,1251-08-26,65,True,POINT (16.388 48.221),2,True,False,False,False,False
1,Netolice,1251-09-04,1251-11-08,65,False,POINT (14.197 49.05),1,True,False,False,False,False
2,Enns,1251-11-13,1251-11-17,4,True,POINT (14.479 48.214),1,True,False,False,False,False
3,Krems an der Donau,1251-11-22,1251-11-30,8,True,POINT (15.62 48.41),1,True,False,False,False,False
4,Korneuburg,1251-12-03,1251-12-10,7,True,POINT (16.33 48.34),6,True,False,False,False,False
5,Wien,1251-12-11,1252-01-22,42,True,POINT (16.388 48.221),5,True,False,False,False,False
6,Hainburg,1252-01-24,1252-03-09,45,True,POINT (16.946 48.146),4,True,False,False,False,False
7,Wiener Neustadt,1252-03-12,1252-03-15,3,True,POINT (16.24 47.81),1,True,False,False,False,False
8,Krems an der Donau,1252-03-19,1252-04-07,19,True,POINT (15.62 48.41),5,True,False,False,False,False
9,Brno,1252-04-12,1252-05-16,34,False,POINT (16.61 49.19),2,True,False,False,False,False
10,Znojmo,1252-05-19,1252-07-15,57,False,POINT (16.05 48.86),1,True,False,False,False,False
11,Linz,1252-07-23,1252-09-15,54,True,POINT (14.286 48.306),1,True,False,False,False,False
12,Graz,1252-09-30,1252-10-30,30,False,POINT (15.45 47.067),1,True,False,False,False,False
13,Linz,1252-11-14,1252-12-01,17,True,POINT (14.286 48.306),5,True,False,False,False,False
14,Krems an der Donau,1252-12-07,1252-12-29,22,True,POINT (15.62 48.41),1,True,False,False,False,False
15,Wien,1253-01-01,1253-03-05,63,True,POINT (16.388 48.221),2,True,False,False,False,False
16,Praha,1253-03-17,1253-04-11,25,False,POINT (14.41 50.09),2,True,False,False,False,False
17,Wiener Neustadt,1253-04-24,1253-05-04,10,True,POINT (16.24 47.81),1,True,False,False,False,False
18,Leoben,1253-05-12,1253-05-21,9,False,POINT (15.095 47.379),1,True,False,False,False,False
19,Krems an der Donau,1253-06-01,1253-06-22,21,True,POINT (15.62 48.41),1,True,False,False,False,False
20,Brno,1253-06-27,1253-07-23,26,False,POINT (16.61 49.19),1,True,False,False,False,False
21,Olomouc,1253-07-26,1253-08-16,21,False,POINT (17.252 49.596),1,True,False,False,False,False
22,Praha,1253-08-27,1253-09-06,10,False,POINT (14.41 50.09),1,True,False,False,False,False
23,Krems an der Donau,1253-09-17,1253-09-17,0,True,POINT (15.62 48.41),1,True,False,False,False,False
24,Kleinweikersdorf,1253-09-20,1253-09-23,3,True,POINT (16.198 48.631),1,True,False,False,False,False
25,Wien,1253-09-25,1253-10-01,6,True,POINT (16.388 48.221),1,False,True,False,False,False
26,Praha,1253-10-13,1253-11-25,43,True,POINT (14.41 50.09),8,False,True,False,False,False
27,Jablonné v Podještědí,1253-11-29,1253-12-09,10,True,POINT (14.76 50.765),1,False,True,False,False,False
28,Praha,1253-12-13,1253-12-19,6,True,POINT (14.41 50.09),1,False,True,False,False,False
29,Kladruby,1253-12-25,1254-01-23,29,True,POINT (12.995 49.712),2,False,True,False,False,False
30,Krems an der Donau,1254-02-04,1254-03-16,40,True,POINT (15.62 48.41),2,False,True,False,False,False
31,Wien,1254-03-19,1254-04-06,18,True,POINT (16.388 48.221),2,False,True,False,False,False
32,Krems an der Donau,1254-04-09,1254-04-17,8,True,POINT (15.62 48.41),1,False,True,False,False,False
33,Bratislava,1254-04-22,1254-04-26,4,True,POINT (17.103 48.142),1,False,True,False,False,False
34,Wien,1254-04-29,1254-05-13,14,True,POINT (16.388 48.221),1,False,True,False,False,False
35,Znojmo,1254-05-16,1254-05-28,12,True,POINT (16.05 48.86),1,False,True,False,False,False
36,Brno,1254-05-31,1254-06-15,15,True,POINT (16.61 49.19),1,False,True,False,False,False
37,Praha,1254-06-25,1254-07-10,15,True,POINT (14.41 50.09),3,False,True,False,False,False
38,Balga,1254-07-26,1254-07-26,0,False,POINT (19.998 54.557),1,False,True,False,False,False
39,Logvino,1254-07-27,1254-07-27,0,False,POINT (20.208 54.766),1,False,True,False,False,False
40,Mel'nikovo,1254-07-28,1254-07-28,0,False,POINT (20.461 54.875),1,False,True,False,False,False
41,Sewernaja Gora,1254-07-29,1254-07-29,0,False,POINT (20.55 54.76),1,False,True,False,False,False
42,Nisowje,1254-07-30,1254-07-30,0,False,POINT (20.739 54.703),1,False,True,False,False,False
43,Gwardeisk,1254-07-31,1254-07-31,0,False,POINT (21.065 54.648),1,False,True,False,False,False
44,Kaliningrad,1254-08-01,1254-08-01,0,False,POINT (20.511 54.706),1,False,True,False,False,False
45,Olomouc,1254-08-17,1254-09-15,29,True,POINT (17.252 49.596),2,False,True,False,False,False
46,Sadská,1254-09-24,1254-10-31,37,True,POINT (14.985 50.134),1,False,True,False,False,False
47,Krems an der Donau,1254-11-09,1254-11-29,20,True,POINT (15.62 48.41),1,False,True,False,False,False
48,Wrocław,1254-12-13,1254-12-25,12,False,POINT (17.034 51.109),1,False,True,False,False,False
49,Elbląg,1255-01-07,1255-01-19,12,False,POINT (19.409 54.152),2,False,True,False,False,False
50,Opava,1255-02-04,1255-02-09,5,True,POINT (17.903 49.939),1,False,True,False,False,False
