locality,p1,p2,p3,p4,p5,pall,geometry
Seitenstetten,,inf,,,,inf,POINT (14.655 48.036)
Pottendorf,,,inf,,,inf,POINT (16.388 47.91)
Völkermarkt,,,,inf,,inf,POINT (14.633 46.662)
Čáslav,,,inf,,,inf,POINT (15.389 49.91)
Friesach,,,,inf,,inf,POINT (14.326 46.984)
Hartberg,,,,inf,,inf,POINT (15.97 47.281)
Maribor,,,,inf,,inf,POINT (15.648 46.554)
Judenburg,,,,4.0,,4.0,POINT (14.667 47.167)
Slovenj Gradec,,,,2.0,,2.0,POINT (15.079 46.516)
Sitzenberg,,1.0,,,,1.0,POINT (15.809 48.321)
Vracov,,,1.0,,,1.0,POINT (17.209 48.977)
Ljubljana,,,,1.0,,1.0,POINT (14.507 46.05)
Kostanjevica na Krki,,,,0.5,,0.5,POINT (15.42 45.846)
Marchegg,,,,0.5,,0.5,POINT (16.891 48.257)
Stična,,,,0.5,,0.5,POINT (14.806 45.957)
Villach,,,,0.5,,0.5,POINT (13.856 46.61)
Bratislava,,0.25,0.4,,,0.3333333333333333,POINT (17.103 48.142)
Arnoldstein,,,,0.3333333333333333,,0.3333333333333333,POINT (13.75 46.55)
Kleinweikersdorf,0.3333333333333333,,,,,0.3333333333333333,POINT (16.198 48.631)
Most,,,0.3333333333333333,,,0.3333333333333333,POINT (13.636 50.503)
Graz,,,0.2542372881355932,0.46153846153846156,,0.2916666666666667,POINT (15.45 47.067)
Enns,0.25,0.3333333333333333,,,,0.2857142857142857,POINT (14.479 48.214)
Korneuburg,0.8571428571428571,,,0.05263157894736842,,0.2692307692307692,POINT (16.33 48.34)
Traiskirchen,,,0.25,,,0.25,POINT (16.295 48.014)
Herzogenbirbaum,,,0.25,,,0.25,POINT (16.251 48.519)
Groißenbrunn,,0.25,0.25,,,0.25,POINT (16.902 48.223)
Gaming,,0.25,,,,0.25,POINT (15.088 47.929)
Uničov,,,,,0.2,0.2,POINT (17.121 49.771)
Kravaře u České Lípy,,,0.2,,,0.2,POINT (14.392 50.632)
Jindřichův Hradec,,,,,0.16666666666666666,0.16666666666666666,POINT (15.003 49.144)
Laa an der Thaya,,0.25,0.5,0.06896551724137931,,0.16363636363636364,POINT (16.384 48.728)
Znojmo,,0.11764705882352941,0.16923076923076924,0.16393442622950818,,0.16083916083916083,POINT (16.05 48.86)
Wels,,0.13157894736842105,,,,0.13157894736842105,POINT (14.027 48.158)
Jaroměřice nad Rokytkou,,,0.125,,,0.125,POINT (15.893 49.094)
Litoměřice,,,0.2727272727272727,,0.047619047619047616,0.125,POINT (14.132 50.533)
Hradec nad Moravicí,,,,,0.12,0.12,POINT (17.875 49.871)
Hainburg,0.08888888888888889,,,0.3333333333333333,,0.11764705882352941,POINT (16.946 48.146)
Wien,0.052941176470588235,0.08812260536398467,0.09944751381215469,0.2198952879581152,,0.11457036114570361,POINT (16.388 48.221)
Neuburg am Inn,,,,0.1111111111111111,,0.1111111111111111,POINT (13.405 48.518)
Havlíčkův Brod,,,0.1111111111111111,,,0.1111111111111111,POINT (15.579 49.607)
Jablonné v Podještědí,,0.1,,,,0.1,POINT (14.76 50.765)
Drosendorf,,,,0.1,,0.1,POINT (15.622 48.866)
Křivoklát,,0.1875,0.1,0.041666666666666664,,0.1,POINT (13.872 50.038)
Opava,,0.15,,,0.06451612903225806,0.09803921568627451,POINT (17.903 49.939)
Kamýk nad Vltavou,,,,0.0967741935483871,,0.0967741935483871,POINT (14.253 49.639)
Lilienfeld,,0.023809523809523808,inf,inf,,0.09523809523809523,POINT (15.598 48.014)
Zwettl,,0.045454545454545456,,1.0,,0.08695652173913043,POINT (15.169 48.607)
Jihlava,,,0.08,0.1111111111111111,,0.0847457627118644,POINT (15.591 49.396)
Freistadt,,,0.02564102564102564,0.15625,,0.08450704225352113,POINT (14.517 48.517)
Přištpo,,,,0.08333333333333333,,0.08333333333333333,POINT (15.935 49.074)
Linz,0.08450704225352113,0.06896551724137931,0.09433962264150944,,,0.08241758241758242,POINT (14.286 48.306)
Poděbrady,,,0.1,0.075,0.043478260869565216,0.07766990291262135,POINT (15.119 50.142)
Uherský Ostroh,,,,0.07692307692307693,,0.07692307692307693,POINT (17.39 48.986)
Wiener Neustadt,0.15384615384615385,0.05405405405405406,0.06382978723404255,,,0.07216494845360824,POINT (16.24 47.81)
Nižbor,,,0.07142857142857142,,,0.07142857142857142,POINT (14.003 50.002)
Uherské Hradiště,,0.07142857142857142,,,,0.07142857142857142,POINT (17.46 49.07)
Kladruby,,0.06896551724137931,,,,0.06896551724137931,POINT (12.995 49.712)
Praha,,0.059548254620123205,0.06941176470588235,0.06860158311345646,0.06153846153846154,0.06637554585152838,POINT (14.41 50.09)
Olomouc,,0.06349206349206349,0.06349206349206349,,0.0625,0.06338028169014084,POINT (17.252 49.596)
Krems an der Donau,0.12857142857142856,0.04797047970479705,,0.029850746268656716,,0.058823529411764705,POINT (15.62 48.41)
Velehrad,,,0.05714285714285714,,,0.05714285714285714,POINT (17.395 49.105)
Cheb,,,0.05555555555555555,,,0.05555555555555555,POINT (12.38 50.071)
Milevsko,,,,0.05555555555555555,,0.05555555555555555,POINT (14.361 49.45)
Vyškov,,,0.05555555555555555,,,0.05555555555555555,POINT (17 49.28)
Brno,,0.056910569105691054,0.07042253521126761,0.052980132450331126,0.05128205128205128,0.05546492659053834,POINT (16.61 49.19)
Veveří,,,,0.05263157894736842,,0.05263157894736842,POINT (16.462 49.257)
Dobříš,,0.05263157894736842,,,,0.05263157894736842,POINT (14.175 49.783)
Zbraslav,,,,0.05172413793103448,,0.05172413793103448,POINT (14.394 49.976)
Žatec,,,0.047619047619047616,,,0.047619047619047616,POINT (13.54 50.33)
Loket,,0.043478260869565216,,,,0.043478260869565216,POINT (12.754 50.187)
Zvíkov,,0.04,,0.041666666666666664,,0.04081632653061224,POINT (14.192 49.439)
Myšenec,,,,0.04,,0.04,POINT (14.208 49.223)
České Budějovice,,,0.04,,,0.04,POINT (14.474 48.974)
Głubczyce,,,0.03636363636363636,,,0.03636363636363636,POINT (17.829 50.201)
Domažlice,,,0.03571428571428571,,,0.03571428571428571,POINT (12.93 49.44)
Beroun,,,0.03571428571428571,,,0.03571428571428571,POINT (14.073 49.964)
Plasy,,0.031746031746031744,0.04081632653061224,,,0.03571428571428571,POINT (13.39 49.934)
Budyně nad Ohří,,,0.031914893617021274,0.037037037037037035,,0.03305785123966942,POINT (14.126 50.404)
Stříbro,,,0.03125,,,0.03125,POINT (13.003 49.752)
Písek,,0.03571428571428571,0.025179856115107913,0.05555555555555555,,0.02972972972972973,POINT (14.148 49.309)
Sadská,,0.0392156862745098,0.015384615384615385,0.015384615384615385,,0.02586206896551724,POINT (14.985 50.134)
Hradec Králové,,0.03333333333333333,0.01639344262295082,,0.3333333333333333,0.025806451612903226,POINT (15.833 50.209)
Eggenburg,,,0.02564102564102564,,,0.02564102564102564,POINT (15.819 48.639)
Mailberg,,,,0.018518518518518517,,0.018518518518518517,POINT (16.183 48.673)
