,p1,p2,p3,p4,p5,pall,geometry
Graz,,,3.75,6.0,,4.2,POINT (15.45 47.067)
Judenburg,,,,4.0,,4.0,POINT (14.667 47.167)
Korneuburg,6.0,,,1.0,,3.5,POINT (16.33 48.34)
Hainburg,4.0,,,2.0,,3.0,POINT (16.946 48.146)
Wien,3.0,1.5333333333333334,2.25,4.666666666666667,,2.6285714285714286,POINT (16.388 48.221)
Znojmo,,1.0,2.75,3.3333333333333335,,2.5555555555555554,POINT (16.05 48.86)
Wels,,2.5,,,,2.5,POINT (14.027 48.158)
Praha,,2.230769230769231,2.185185185185185,2.888888888888889,2.4,2.4126984126984126,POINT (14.41 50.09)
Laa an der Thaya,,6.0,1.0,1.0,,2.25,POINT (16.384 48.728)
Linz,3.0,1.3333333333333333,2.5,,,2.142857142857143,POINT (14.286 48.306)
Kostanjevica na Krki,,,,2.0,,2.0,POINT (15.42 45.846)
Uherské Hradiště,,2.0,,,,2.0,POINT (17.46 49.07)
Slovenj Gradec,,,,2.0,,2.0,POINT (15.079 46.516)
Plasy,,2.0,2.0,,,2.0,POINT (13.39 49.934)
Freistadt,,,1.0,2.5,,2.0,POINT (14.517 48.517)
Vyškov,,,2.0,,,2.0,POINT (17 49.28)
Kladruby,,2.0,,,,2.0,POINT (12.995 49.712)
Olomouc,,2.0,2.0,,1.0,1.8,POINT (17.252 49.596)
Brno,,1.75,1.25,1.6,2.0,1.619047619047619,POINT (16.61 49.19)
Krems an der Donau,1.8,1.625,,1.0,,1.6,POINT (15.62 48.41)
Kamýk nad Vltavou,,,,1.5,,1.5,POINT (14.253 49.639)
Bratislava,,1.0,2.0,,,1.5,POINT (17.103 48.142)
Hradec nad Moravicí,,,,,1.5,1.5,POINT (17.875 49.871)
Wiener Neustadt,1.0,2.0,1.5,,,1.4,POINT (16.24 47.81)
Lilienfeld,,1.0,2.0,1.0,,1.3333333333333333,POINT (15.598 48.014)
Poděbrady,,,2.0,1.0,1.0,1.3333333333333333,POINT (15.119 50.142)
Hradec Králové,,1.0,2.0,,1.0,1.3333333333333333,POINT (15.833 50.209)
Budyně nad Ohří,,,1.5,1.0,,1.3333333333333333,POINT (14.126 50.404)
Opava,,1.5,,,1.0,1.25,POINT (17.903 49.939)
Písek,,1.0,1.1666666666666667,2.0,,1.2222222222222223,POINT (14.148 49.309)
České Budějovice,,,1.0,,,1.0,POINT (14.474 48.974)
Ljubljana,,,,1.0,,1.0,POINT (14.507 46.05)
Arnoldstein,,,,1.0,,1.0,POINT (13.75 46.55)
Hartberg,,,,1.0,,1.0,POINT (15.97 47.281)
Čáslav,,,1.0,,,1.0,POINT (15.389 49.91)
Friesach,,,,1.0,,1.0,POINT (14.326 46.984)
Žatec,,,1.0,,,1.0,POINT (13.54 50.33)
Drosendorf,,,,1.0,,1.0,POINT (15.622 48.866)
Enns,1.0,1.0,,,,1.0,POINT (14.479 48.214)
Mailberg,,,,1.0,,1.0,POINT (16.183 48.673)
Marchegg,,,,1.0,,1.0,POINT (16.891 48.257)
Maribor,,,,1.0,,1.0,POINT (15.648 46.554)
Milevsko,,,,1.0,,1.0,POINT (14.361 49.45)
Myšenec,,,,1.0,,1.0,POINT (14.208 49.223)
Neuburg am Inn,,,,1.0,,1.0,POINT (13.405 48.518)
Vracov,,,1.0,,,1.0,POINT (17.209 48.977)
Stična,,,,1.0,,1.0,POINT (14.806 45.957)
Uherský Ostroh,,,,1.0,,1.0,POINT (17.39 48.986)
Veveří,,,,1.0,,1.0,POINT (16.462 49.257)
Villach,,,,1.0,,1.0,POINT (13.856 46.61)
Völkermarkt,,,,1.0,,1.0,POINT (14.633 46.662)
Zbraslav,,,,1.0,,1.0,POINT (14.394 49.976)
Jindřichův Hradec,,,,,1.0,1.0,POINT (15.003 49.144)
Přištpo,,,,1.0,,1.0,POINT (15.935 49.074)
Herzogenbirbaum,,,1.0,,,1.0,POINT (16.251 48.519)
Velehrad,,,1.0,,,1.0,POINT (17.395 49.105)
Beroun,,,1.0,,,1.0,POINT (14.073 49.964)
Kleinweikersdorf,1.0,,,,,1.0,POINT (16.198 48.631)
Dobříš,,1.0,,,,1.0,POINT (14.175 49.783)
Gaming,,1.0,,,,1.0,POINT (15.088 47.929)
Groißenbrunn,,1.0,1.0,,,1.0,POINT (16.902 48.223)
Jablonné v Podještědí,,1.0,,,,1.0,POINT (14.76 50.765)
Křivoklát,,1.0,1.0,1.0,,1.0,POINT (13.872 50.038)
Loket,,1.0,,,,1.0,POINT (12.754 50.187)
Sadská,,1.0,1.0,1.0,,1.0,POINT (14.985 50.134)
Seitenstetten,,1.0,,,,1.0,POINT (14.655 48.036)
Sitzenberg,,1.0,,,,1.0,POINT (15.809 48.321)
Zvíkov,,1.0,,1.0,,1.0,POINT (14.192 49.439)
Zwettl,,1.0,,1.0,,1.0,POINT (15.169 48.607)
Cheb,,,1.0,,,1.0,POINT (12.38 50.071)
Traiskirchen,,,1.0,,,1.0,POINT (16.295 48.014)
Domažlice,,,1.0,,,1.0,POINT (12.93 49.44)
Eggenburg,,,1.0,,,1.0,POINT (15.819 48.639)
Głubczyce,,,1.0,,,1.0,POINT (17.829 50.201)
Havlíčkův Brod,,,1.0,,,1.0,POINT (15.579 49.607)
Jaroměřice nad Rokytkou,,,1.0,,,1.0,POINT (15.893 49.094)
Jihlava,,,1.0,1.0,,1.0,POINT (15.591 49.396)
Kravaře u České Lípy,,,1.0,,,1.0,POINT (14.392 50.632)
Litoměřice,,,1.0,,1.0,1.0,POINT (14.132 50.533)
Most,,,1.0,,,1.0,POINT (13.636 50.503)
Nižbor,,,1.0,,,1.0,POINT (14.003 50.002)
Pottendorf,,,1.0,,,1.0,POINT (16.388 47.91)
Stříbro,,,1.0,,,1.0,POINT (13.003 49.752)
Uničov,,,,,1.0,1.0,POINT (17.121 49.771)
