locality,p1,p2,p3,p4,p5,pall,geometry
Praha,,29.0,59.0,52.0,12.0,152,POINT (14.41 50.09)
Wien,9.0,23.0,18.0,42.0,,92,POINT (16.388 48.221)
Brno,,7.0,5.0,16.0,6.0,34,POINT (16.61 49.19)
Krems an der Donau,9.0,13.0,,2.0,,24,POINT (15.62 48.41)
Znojmo,,2.0,11.0,10.0,,23,POINT (16.05 48.86)
Graz,,,15.0,6.0,,21,POINT (15.45 47.067)
Linz,6.0,4.0,5.0,,,15,POINT (14.286 48.306)
Písek,,2.0,7.0,2.0,,11,POINT (14.148 49.309)
Laa an der Thaya,,6.0,1.0,2.0,,9,POINT (16.384 48.728)
Olomouc,,4.0,4.0,,1.0,9,POINT (17.252 49.596)
Poděbrady,,,4.0,3.0,1.0,8,POINT (15.119 50.142)
Wiener Neustadt,2.0,2.0,3.0,,,7,POINT (16.24 47.81)
Korneuburg,6.0,,,1.0,,7,POINT (16.33 48.34)
Freistadt,,,1.0,5.0,,6,POINT (14.517 48.517)
Hainburg,4.0,,,2.0,,6,POINT (16.946 48.146)
Jihlava,,,4.0,1.0,,5,POINT (15.591 49.396)
Opava,,3.0,,,2.0,5,POINT (17.903 49.939)
Wels,,5.0,,,,5,POINT (14.027 48.158)
Křivoklát,,3.0,1.0,1.0,,5,POINT (13.872 50.038)
Lilienfeld,,1.0,2.0,1.0,,4,POINT (15.598 48.014)
Hradec Králové,,1.0,2.0,,1.0,4,POINT (15.833 50.209)
Litoměřice,,,3.0,,1.0,4,POINT (14.132 50.533)
Judenburg,,,,4.0,,4,POINT (14.667 47.167)
Plasy,,2.0,2.0,,,4,POINT (13.39 49.934)
Budyně nad Ohří,,,3.0,1.0,,4,POINT (14.126 50.404)
Sadská,,2.0,1.0,1.0,,3,POINT (14.985 50.134)
Kamýk nad Vltavou,,,,3.0,,3,POINT (14.253 49.639)
Zbraslav,,,,3.0,,3,POINT (14.394 49.976)
Hradec nad Moravicí,,,,,3.0,3,POINT (17.875 49.871)
Bratislava,,1.0,2.0,,,3,POINT (17.103 48.142)
Velehrad,,,2.0,,,2,POINT (17.395 49.105)
Kostanjevica na Krki,,,,2.0,,2,POINT (15.42 45.846)
Havlíčkův Brod,,,2.0,,,2,POINT (15.579 49.607)
Głubczyce,,,2.0,,,2,POINT (17.829 50.201)
Vyškov,,,2.0,,,2,POINT (17 49.28)
Enns,1.0,1.0,,,,2,POINT (14.479 48.214)
Slovenj Gradec,,,,2.0,,2,POINT (15.079 46.516)
Zwettl,,1.0,,1.0,,2,POINT (15.169 48.607)
Zvíkov,,1.0,,1.0,,2,POINT (14.192 49.439)
Uherské Hradiště,,2.0,,,,2,POINT (17.46 49.07)
Kladruby,,2.0,,,,2,POINT (12.995 49.712)
Neuburg am Inn,,,,1.0,,1,POINT (13.405 48.518)
Ljubljana,,,,1.0,,1,POINT (14.507 46.05)
Friesach,,,,1.0,,1,POINT (14.326 46.984)
Hartberg,,,,1.0,,1,POINT (15.97 47.281)
Jindřichův Hradec,,,,,1.0,1,POINT (15.003 49.144)
Völkermarkt,,,,1.0,,1,POINT (14.633 46.662)
Villach,,,,1.0,,1,POINT (13.856 46.61)
Veveří,,,,1.0,,1,POINT (16.462 49.257)
Marchegg,,,,1.0,,1,POINT (16.891 48.257)
Uherský Ostroh,,,,1.0,,1,POINT (17.39 48.986)
Mailberg,,,,1.0,,1,POINT (16.183 48.673)
Myšenec,,,,1.0,,1,POINT (14.208 49.223)
Stična,,,,1.0,,1,POINT (14.806 45.957)
Maribor,,,,1.0,,1,POINT (15.648 46.554)
Milevsko,,,,1.0,,1,POINT (14.361 49.45)
Arnoldstein,,,,1.0,,1,POINT (13.75 46.55)
Přištpo,,,,1.0,,1,POINT (15.935 49.074)
Drosendorf,,,,1.0,,1,POINT (15.622 48.866)
Herzogenbirbaum,,,1.0,,,1,POINT (16.251 48.519)
Žatec,,,1.0,,,1,POINT (13.54 50.33)
Čáslav,,,1.0,,,1,POINT (15.389 49.91)
Kleinweikersdorf,1.0,,,,,1,POINT (16.198 48.631)
Dobříš,,1.0,,,,1,POINT (14.175 49.783)
Gaming,,1.0,,,,1,POINT (15.088 47.929)
Groißenbrunn,,1.0,1.0,,,1,POINT (16.902 48.223)
Jablonné v Podještědí,,1.0,,,,1,POINT (14.76 50.765)
Loket,,1.0,,,,1,POINT (12.754 50.187)
Seitenstetten,,1.0,,,,1,POINT (14.655 48.036)
Sitzenberg,,1.0,,,,1,POINT (15.809 48.321)
Beroun,,,1.0,,,1,POINT (14.073 49.964)
Cheb,,,1.0,,,1,POINT (12.38 50.071)
Domažlice,,,1.0,,,1,POINT (12.93 49.44)
Eggenburg,,,1.0,,,1,POINT (15.819 48.639)
Jaroměřice nad Rokytkou,,,1.0,,,1,POINT (15.893 49.094)
Kravaře u České Lípy,,,1.0,,,1,POINT (14.392 50.632)
Most,,,1.0,,,1,POINT (13.636 50.503)
Nižbor,,,1.0,,,1,POINT (14.003 50.002)
Pottendorf,,,1.0,,,1,POINT (16.388 47.91)
Stříbro,,,1.0,,,1,POINT (13.003 49.752)
Traiskirchen,,,1.0,,,1,POINT (16.295 48.014)
Vracov,,,1.0,,,1,POINT (17.209 48.977)
České Budějovice,,,1.0,,,1,POINT (14.474 48.974)
Uničov,,,,,1.0,1,POINT (17.121 49.771)
