,p1,p2,p3,p4,p5,pall,geometry
Krems an der Donau,0.788888888888889,0.12688172043010754,,0.0,,0.10637959846011565,POINT (15.62 48.41)
Enns,0.0,0.04247311827956989,,,,0.02891156334441671,POINT (14.479 48.214)
Kleinweikersdorf,0.0,0.0,,,,0.005668551091707131,POINT (16.198 48.631)
Korneuburg,0.0,,,0.0,,0.019667870086618258,POINT (16.33 48.34)
Linz,0.37777777777777777,0.24086021505376343,0.03317073170731708,,,0.03258307549374255,POINT (14.286 48.306)
Graz,0.0,,0.06069105691056907,0.0,,0.00763133836157639,POINT (15.45 47.067)
Praha,0.0,0.50752688172043,0.7029065040650406,0.5201830757318562,0.5333333333333332,0.37700410325300115,POINT (14.41 50.09)
Wien,0.08888888888888889,0.3069892473118279,0.19018292682926824,0.35667969564311025,0.0,0.38085839373673636,POINT (16.388 48.221)
Hainburg,0.011111111111111112,,,0.052484067423091814,,0.007013528803126219,POINT (16.946 48.146)
Wiener Neustadt,0.08888888888888889,0.06451612903225806,0.11518292682926831,,,0.059617577381315255,POINT (16.24 47.81)
Znojmo,0.0,0.12114695340501791,0.03571138211382115,0.1220028887102058,,0.055070487843041464,POINT (16.05 48.86)
Bratislava,,0.028315412186379927,0.08473577235772356,0.03841463414634146,,0.033555906822142496,POINT (17.103 48.142)
Brno,,0.17383512544802868,0.07388211382113821,0.2238819649185502,0.05925925925925925,0.09852847465982936,POINT (16.61 49.19)
Kladruby,,0.03620071684587814,,,,0.015332974890718063,POINT (12.995 49.712)
Laa an der Thaya,,0.06451612903225806,0.015487804878048777,0.053540233479257876,,0.0644973190521236,POINT (16.384 48.728)
Groißenbrunn,,0.0,0.0006097560975609756,,,0.0,POINT (16.902 48.223)
Loket,,0.012724014336917567,,,,0.0015914995638768778,POINT (12.754 50.187)
Dobříš,,0.008781362007168458,,,,0.011769906392298397,POINT (14.175 49.783)
Křivoklát,,0.12544802867383512,0.0,0.0,,0.01333026199320646,POINT (13.872 50.038)
Olomouc,,0.023835125448028672,0.02829268292682927,,0.14444444444444446,0.0054003470327302254,POINT (17.252 49.596)
Opava,,0.0,,,0.3888888888888889,0.05818047822161839,POINT (17.903 49.939)
Hradec Králové,,0.029032258064516127,0.00451219512195122,,0.16666666666666666,0.016888087913653593,POINT (15.833 50.209)
Jablonné v Podještědí,,0.0,,,,0.0,POINT (14.76 50.765)
Plasy,,0.0,0.025508130081300814,,,0.01611029288078951,POINT (13.39 49.934)
Písek,,0.07580645161290323,0.011036585365853658,0.0,,0.012224132676674552,POINT (14.148 49.309)
Sadská,,0.0064516129032258064,0.0,0.0,,0.004722490426281199,POINT (14.985 50.134)
Seitenstetten,,0.0,,,,0.0,POINT (14.655 48.036)
Sitzenberg,,0.034587813620071683,,,,0.017623715625478775,POINT (15.809 48.321)
Wels,,0.0978494623655914,,,,0.039985333829001185,POINT (14.027 48.158)
Gaming,,0.0,,,,0.0,POINT (15.088 47.929)
