,p1,p2,p3,p4,p5,pall,geometry
Krems an der Donau,0.14532309284060707,0.08290648107317554,,0.06149479901483186,,0.08388629891775203,POINT (15.62 48.41)
Enns,0.09021987027374882,0.05977391304056145,,,,0.06289639020461167,POINT (14.479 48.214)
Kleinweikersdorf,0.11248148096837189,0.07375832456311043,,,,0.08049040225863491,POINT (16.198 48.631)
Korneuburg,0.126976255731453,,,0.040443800194272406,,0.087566670653456,POINT (16.33 48.34)
Linz,0.10421454675383626,0.05587898099335577,0.03174105862482542,,,0.0670138443458882,POINT (14.286 48.306)
Graz,0.04444625939593484,,0.04945146464096382,0.04879550351524127,,0.05377760480207753,POINT (15.45 47.067)
Praha,0.06323268240954154,0.08705280082622342,0.09115476229492975,0.06950465995555541,0.10687956911018733,0.08107273931013692,POINT (14.41 50.09)
Wien,0.12384115537321903,0.08455202253936459,0.07300154268027645,0.07740928247325322,0.05058552401157736,0.09044146043989466,POINT (16.388 48.221)
Hainburg,0.1069232687548086,,,0.0687648631287119,,0.07877243658252506,POINT (16.946 48.146)
Wiener Neustadt,0.10597342250222246,0.039776597402650465,0.04910059740908734,,,0.07224699782673445,POINT (16.24 47.81)
Znojmo,0.060779032464634404,0.07889597150910728,0.07639497796774534,0.07255258021541235,,0.08746446844095414,POINT (16.05 48.86)
Bratislava,,0.0712285285586832,0.06478105705700477,0.06770322925966055,,0.07644529830538277,POINT (17.103 48.142)
Brno,,0.07992351091738102,0.07297799254222016,0.07821940895833775,0.09746675530313303,0.08516827508823278,POINT (16.61 49.19)
Kladruby,,0.06338548963749219,,,,0.05915870490273323,POINT (12.995 49.712)
Laa an der Thaya,,0.03986428766102672,0.07314522054534234,0.06266598264449275,,0.0840732714082578,POINT (16.384 48.728)
Groißenbrunn,,0.03616413110321644,0.06483770072408819,,,0.07457621992108077,POINT (16.902 48.223)
Loket,,0.05796342346064219,,,,0.05228998696189445,POINT (12.754 50.187)
Dobříš,,0.05043905062016942,,,,0.04621147954203736,POINT (14.175 49.783)
Křivoklát,,0.0754916300336713,0.0748434089927649,0.0596004364175937,,0.06931078028747088,POINT (13.872 50.038)
Olomouc,,0.0699029563761189,0.06400393994281622,,0.0931715114382173,0.072746605597167,POINT (17.252 49.596)
Opava,,0.05560990810991906,,,0.09092873839500762,0.060227234362030986,POINT (17.903 49.939)
Hradec Králové,,0.06534147822676314,0.026332187170020987,,0.08211708164502309,0.06171147769817125,POINT (15.833 50.209)
Jablonné v Podještědí,,0.06880416916943755,,,,0.06474608008478555,POINT (14.76 50.765)
Plasy,,0.06387719003116236,0.02955533551258966,,,0.060486623832922665,POINT (13.39 49.934)
Písek,,0.07723155135116362,0.07678759097059874,0.05539425136740841,,0.07257734513969805,POINT (14.148 49.309)
Sadská,,0.08133610387704807,0.07774509919274097,0.061426126385385936,,0.07492818876552375,POINT (14.985 50.134)
Seitenstetten,,0.0630664715491546,,,,0.06331260493520204,POINT (14.655 48.036)
Sitzenberg,,0.07415926639910865,,,,0.0774650966693041,POINT (15.809 48.321)
Wels,,0.05978968057065827,,,,0.05800580871704006,POINT (14.027 48.158)
Gaming,,0.05950292611058199,,,,0.061958981867651995,POINT (15.088 47.929)
Jaroměřice nad Rokytkou,,0.06381781629277596,0.0709299914549625,,,0.08029242102934261,POINT (15.893 49.094)
Uherské Hradiště,,0.06259320055025813,,,,0.06539046628267821,POINT (17.46 49.07)
Lilienfeld,,0.03556226606889078,0.05978548770791183,0.05895630207395055,,0.07355607538369008,POINT (15.598 48.014)
Zvíkov,,0.07390318957463576,,0.05422305694393652,,0.06959643503519529,POINT (14.192 49.439)
Zwettl,,0.06412398971722359,,0.05091361049692963,,0.07338040943906146,POINT (15.169 48.607)
Eggenburg,,,0.049812766861776006,,,0.04632337890082832,POINT (15.819 48.639)
Cheb,,,0.053463634613765604,,,0.049200274517668965,POINT (12.38 50.071)
Głubczyce,,,0.051954214184452105,,,0.053435124583252364,POINT (17.829 50.201)
Havlíčkův Brod,,,0.0783892075207182,,,0.07792917551561328,POINT (15.579 49.607)
Jihlava,,,0.07255600325639354,0.06717425954535043,,0.07591396985481598,POINT (15.591 49.396)
Budyně nad Ohří,,,0.07774418524559133,0.06134272490221474,,0.07056953482764924,POINT (14.126 50.404)
Kravaře u České Lípy,,,0.05508491796576247,,,0.05373917685154747,POINT (14.392 50.632)
Litoměřice,,,0.07710004178707061,,0.09184600277312269,0.06922647399412958,POINT (14.132 50.533)
Most,,,0.04749402137852477,,,0.046294557642486585,POINT (13.636 50.503)
Poděbrady,,,0.0764950348639034,0.06729067827268848,0.0808122146873662,0.07648766959078165,POINT (15.119 50.142)
Freistadt,,,0.05505691298907934,0.05878070639059184,,0.06970746839979781,POINT (14.517 48.517)
Nižbor,,,0.07685734167414182,,,0.06943873442883618,POINT (14.003 50.002)
Pottendorf,,,0.04326552393885806,,,0.04045390327759153,POINT (16.388 47.91)
Stříbro,,,0.055096125709555126,,,0.050423023357349855,POINT (13.003 49.752)
Domažlice,,,0.05121481862790321,,,0.04711400030351622,POINT (12.93 49.44)
Traiskirchen,,,0.04566361965163608,,,0.04341631142799617,POINT (16.295 48.014)
Velehrad,,,0.0601757640783109,,,0.06764349752892282,POINT (17.395 49.105)
Vracov,,,0.05729381591318173,,,0.0639800732703336,POINT (17.209 48.977)
Vyškov,,,0.046801603539730154,,,0.04657017039131704,POINT (17 49.28)
Herzogenbirbaum,,,0.07408933348220044,,,0.08640578974808834,POINT (16.251 48.519)
České Budějovice,,,0.06238777531094877,,,0.05683397215273189,POINT (14.474 48.974)
Beroun,,,0.048872814829277134,,,0.04528231724443755,POINT (14.073 49.964)
Čáslav,,,0.07023983325744182,,,0.06356854969178305,POINT (15.389 49.91)
Žatec,,,0.04682690677291514,,,0.04634774185187563,POINT (13.54 50.33)
Judenburg,,,,0.03892171401344083,,0.04177847492067748,POINT (14.667 47.167)
Friesach,,,,0.030313650875319717,,0.03037077208658565,POINT (14.326 46.984)
Kamýk nad Vltavou,,,,0.06558279188030552,,0.07347932823622688,POINT (14.253 49.639)
Drosendorf,,,,0.04656788932048937,,0.07196429012674797,POINT (15.622 48.866)
Ljubljana,,,,0.03555533407331137,,0.03381697180942282,POINT (14.507 46.05)
Arnoldstein,,,,0.027785594680834202,,0.025893855608991805,POINT (13.75 46.55)
Mailberg,,,,0.06893139952358662,,0.07287768771892655,POINT (16.183 48.673)
Marchegg,,,,0.05419632195366854,,0.0693493270591213,POINT (16.891 48.257)
