,p1,p2,p3,p4,p5,pall,geometry
Krems an der Donau,0.6089631213003059,0.37181083775620893,,0.08943392167455522,,0.20056861863114167,POINT (15.62 48.41)
Enns,0.191166634472026,0.0469153101481755,,,,0.019088082981886,POINT (14.479 48.214)
Kleinweikersdorf,0.191166634472026,0.04562653378144578,,,,0.018749346068133665,POINT (16.198 48.631)
Korneuburg,0.3031116450906291,,,4.229590669551749e-05,,0.018779078669720325,POINT (16.33 48.34)
Linz,0.2380955578729422,0.12763717859886295,0.016812913982027843,,,0.07277152025158092,POINT (14.286 48.306)
Graz,0.07474423620996994,,0.18145875844166023,0.052778238574243276,,0.09732083275009722,POINT (15.45 47.067)
Praha,0.3031116450906291,0.5700822568823499,0.6562194005423811,0.6352452895993489,0.661405942888947,0.6325493960418409,POINT (14.41 50.09)
Wien,0.35660312383987197,0.6181476632593225,0.3656754247077749,0.35014238519560925,0.13535441188728561,0.4754367162632968,POINT (16.388 48.221)
Hainburg,0.2238900212372362,,,0.07426472349520644,,0.04533387778537587,POINT (16.946 48.146)
Wiener Neustadt,0.35660312383987197,0.009472714943521716,0.07634789391175292,,,0.05107444427213153,POINT (16.24 47.81)
Znojmo,0.07474423620996994,0.08756031572426083,0.2399544734578852,0.14309824549252606,,0.16904411540320746,POINT (16.05 48.86)
Bratislava,,0.07307097164461364,0.07608689052911359,0.033840212653080105,,0.06422134700576612,POINT (17.103 48.142)
Brno,,0.14421050373023744,0.18156819606055455,0.5272042486620732,0.607647367156652,0.38249238429861615,POINT (16.61 49.19)
Kladruby,,0.06952402134471965,,,,0.023107506078036775,POINT (12.995 49.712)
Laa an der Thaya,,0.009472714943521716,0.032382560714557085,0.09886315709293815,,0.05280825796276984,POINT (16.384 48.728)
Groißenbrunn,,0.0006992140771037964,0.00801339181613761,,,0.0032458958240015245,POINT (16.902 48.223)
Loket,,0.010353775291906387,,,,0.003191372411355978,POINT (12.754 50.187)
Dobříš,,0.002053010249436663,,,,0.0004272535863839375,POINT (14.175 49.783)
Křivoklát,,0.13821778120386183,0.09695996344966645,0.0957512084161696,,0.11463793560401862,POINT (13.872 50.038)
Olomouc,,0.061295633825645526,0.11020952021574698,,0.16492980870038826,0.081854380597817,POINT (17.252 49.596)
Opava,,0.10189751122722869,,,0.19827316490911476,0.059793086164672715,POINT (17.903 49.939)
Hradec Králové,,0.04336835984828152,0.0016678922529600486,,0.16783182320276566,0.038325259565528055,POINT (15.833 50.209)
Jablonné v Podještědí,,0.08415916696310359,,,,0.03508908847332954,POINT (14.76 50.765)
Plasy,,0.042079583481551795,0.00576355088073178,,,0.020024066056384664,POINT (13.39 49.934)
Písek,,0.1343184108620986,0.32700437109981256,0.0957512084161696,,0.20042277772747447,POINT (14.148 49.309)
Sadská,,0.116127965776464,0.04847998172483323,0.0957512084161696,,0.0780114311043149,POINT (14.985 50.134)
Seitenstetten,,0.027444437863167866,,,,0.005562961841372003,POINT (14.655 48.036)
Sitzenberg,,0.05582877165851912,,,,0.01636590675379513,POINT (15.809 48.321)
Wels,,0.017460044836212572,,,,0.012212768784135112,POINT (14.027 48.158)
Gaming,,0.09125306756289156,,,,0.026372768453523324,POINT (15.088 47.929)
Jaroměřice nad Rokytkou,,0.04562653378144578,0.031140619469987356,,,0.028483461648992594,POINT (15.893 49.094)
Uherské Hradiště,,0.04661229359910102,,,,0.013365649270468375,POINT (17.46 49.07)
Lilienfeld,,0.0006992140771037964,0.040420440168581234,0.0030290799253551316,,0.017623569576816437,POINT (15.598 48.014)
Zvíkov,,0.013355029181336719,,0.004409454487898782,,0.006463235886050816,POINT (14.192 49.439)
Zwettl,,0.05208960720797667,,0.007403979073143632,,0.019871461784240645,POINT (15.169 48.607)
Eggenburg,,,0.05320079488816726,,,0.01810405182032102,POINT (15.819 48.639)
Cheb,,,0.0639012656744707,,,0.020173159750772676,POINT (12.38 50.071)
Głubczyce,,,0.04445400876061428,,,0.019602245912849467,POINT (17.829 50.201)
Havlíčkův Brod,,,0.0646436361063014,,,0.02172546617046679,POINT (15.579 49.607)
Jihlava,,,0.27650122114892967,0.07426472349520644,,0.133211490295302,POINT (15.591 49.396)
Budyně nad Ohří,,,0.09592180507291215,0.05866037678933211,,0.05665867810993602,POINT (14.126 50.404)
Kravaře u České Lípy,,,0.004951073656839539,,,0.0006131845963166087,POINT (14.392 50.632)
Litoměřice,,,0.15554368155686063,,0.14993763425218543,0.07667152540012326,POINT (14.132 50.533)
Most,,,0.002374526271420082,,,0.0003830434903264629,POINT (13.636 50.503)
Poděbrady,,,0.061309448493327076,0.24120233418943027,0.07126055028460523,0.10590873087287242,POINT (15.119 50.142)
Freistadt,,,0.09695996344966645,0.09767683694745921,,0.07091392950073204,POINT (14.517 48.517)
Nižbor,,,0.09695996344966645,,,0.03508908847332954,POINT (14.003 50.002)
Pottendorf,,,0.0523472048397198,,,0.018045024879115322,POINT (16.388 47.91)
Stříbro,,,0.011554060834750897,,,0.002128134871657352,POINT (13.003 49.752)
Domažlice,,,0.0008535900484474572,,,5.9026941205693e-05,POINT (12.93 49.44)
Traiskirchen,,,0.07263793985417843,,,0.02310335244777387,POINT (16.295 48.014)
Velehrad,,,0.0632749798280697,,,0.02823997598478529,POINT (17.395 49.105)
Vracov,,,0.009349080496038763,,,0.0015665016816581653,POINT (17.209 48.977)
Vyškov,,,0.009058666341158948,,,0.0058748139286022285,POINT (17 49.28)
Herzogenbirbaum,,,0.04474189903158044,,,0.017874926847057347,POINT (16.251 48.519)
České Budějovice,,,0.04874602942936209,,,0.017558051232933837,POINT (14.474 48.974)
Beroun,,,0.00360117541035771,,,0.0004869736461814882,POINT (14.073 49.964)
Čáslav,,,0.0523472048397198,,,0.018045024879115322,POINT (15.389 49.91)
Žatec,,,0.02719032354037923,,,0.013197007939393567,POINT (13.54 50.33)
Judenburg,,,,0.0002296074863125827,,0.0004891874772070085,POINT (14.667 47.167)
Friesach,,,,1.7408740439513556e-05,,1.3578131820899832e-05,POINT (14.326 46.984)
Kamýk nad Vltavou,,,,0.11665015952468497,,0.04173731184674303,POINT (14.253 49.639)
Drosendorf,,,,0.0005611881809661964,,0.0010720164445937742,POINT (15.622 48.866)
Ljubljana,,,,1.1566300790143067e-05,,2.825148443900735e-07,POINT (14.507 46.05)
Arnoldstein,,,,9.761483488810965e-07,,1.829464830244709e-08,POINT (13.75 46.55)
Mailberg,,,,0.03996229972884892,,0.011097345668833762,POINT (16.183 48.673)
Marchegg,,,,0.007451093365958464,,0.001464660737816671,POINT (16.891 48.257)
Maribor,,,,0.005661437989293533,,0.0008536537124377561,POINT (15.648 46.554)
Hartberg,,,,0.02681579740968537,,0.013210061098925283,POINT (15.97 47.281)
Milevsko,,,,0.04820792477230514,,0.017723809280371483,POINT (14.361 49.45)
Neuburg am Inn,,,,0.050149302530815745,,0.017924074104120506,POINT (13.405 48.518)
Přištpo,,,,0.01814645574769542,,0.006655344955892323,POINT (15.935 49.074)
Slovenj Gradec,,,,0.02654074004402216,,0.013196543702012287,POINT (15.079 46.516)
Kostanjevica na Krki,,,,0.0020117656331899887,,0.00036630509569867157,POINT (15.42 45.846)
Stična,,,,0.00015249247777862746,,1.0167310657655368e-05,POINT (14.806 45.957)
Uherský Ostroh,,,,0.030168758261160517,,0.013683509520838806,POINT (17.39 48.986)
Veveří,,,,0.035180642270436185,,0.014344000604182597,POINT (16.462 49.257)
Villach,,,,1.3856433143312082e-06,,3.7711775092294057e-07,POINT (13.856 46.61)
Völkermarkt,,,,0.04830228233064853,,0.017568221108828393,POINT (14.633 46.662)
Zbraslav,,,,0.1322311002987616,,0.048320143325311204,POINT (14.394 49.976)
Myšenec,,,,0.010298233603847231,,0.0015194369576685075,POINT (14.208 49.223)
Jindřichův Hradec,,,,,0.158700057015797,0.011671491526467364,POINT (15.003 49.144)
Hradec nad Moravicí,,,,,0.07126055028460523,0.002146666175617962,POINT (17.875 49.871)
Uničov,,,,,0.14993763425218543,0.017604083628629225,POINT (17.121 49.771)
