,p1,p2,p3,p4,p5,pall,geometry
Krems an der Donau,0.09836065573770489,0.04101940229598412,,0.017204983806472975,,0.01766286900431631,POINT (15.62 48.41)
Enns,0.05217391304347826,0.02527984792223348,,,,0.011951144586144323,POINT (14.479 48.214)
Kleinweikersdorf,0.05217391304347826,0.01887844122789178,,,,0.010508925654901647,POINT (16.198 48.631)
Korneuburg,0.06756756756756756,,,0.0058431995813263155,,0.011490388850669268,POINT (16.33 48.34)
Linz,0.06593406593406594,0.032899196019715485,0.021434042911172495,,,0.016354921661097317,POINT (14.286 48.306)
Graz,0.041379310344827586,,0.030465834601598785,0.015294745808898906,,0.016214867407099744,POINT (15.45 47.067)
Praha,0.06756756756756759,0.04336034668313048,0.03701354267373481,0.022699372292192228,0.1423781274181068,0.01866307744240156,POINT (14.41 50.09)
Wien,0.07481296758104736,0.043534145372566745,0.03435697474089906,0.022035202111876043,0.062408140192199,0.018504655704924378,POINT (16.388 48.221)
Hainburg,0.06382978723404252,,,0.01573352402830193,,0.013472325758601331,POINT (16.946 48.146)
Wiener Neustadt,0.07481296758104738,0.01712449589679049,0.02521390689767892,,,0.01582090860628017,POINT (16.24 47.81)
Znojmo,0.04137931034482756,0.032229406595756245,0.03100366983938704,0.0195294800883647,,0.01730361769421306,POINT (16.05 48.86)
Bratislava,,0.026425612461414345,0.023224769513033636,0.014939261144292556,,0.015084548584379824,POINT (17.103 48.142)
Brno,,0.03783673708207321,0.030893268429562398,0.02214664340935389,0.12574031890660595,0.018113124806959723,POINT (16.61 49.19)
Kladruby,,0.02649417555900136,,,,0.010531251647507926,POINT (12.995 49.712)
Laa an der Thaya,,0.017124495896790447,0.022174507946889837,0.017129857835305903,,0.015038789311012784,POINT (16.384 48.728)
Groißenbrunn,,0.011312744495798329,0.017660231629094542,,,0.00980850750620748,POINT (16.902 48.223)
Loket,,0.02195323791758705,,,,0.008714021758260564,POINT (12.754 50.187)
Dobříš,,0.02125049721977653,,,,0.00827675568856805,POINT (14.175 49.783)
Křivoklát,,0.03407223477797261,0.021268840192221836,0.015611807623977318,,0.01579019557650088,POINT (13.872 50.038)
Olomouc,,0.029849331530704792,0.026520715217778858,,0.08930593755055816,0.01588512356756161,POINT (17.252 49.596)
Opava,,0.03053176697019908,,,0.11533639782699544,0.015109559780384986,POINT (17.903 49.939)
Hradec Králové,,0.02528256839015197,0.015658277447955584,,0.08231434536236207,0.014318344050412888,POINT (15.833 50.209)
Jablonné v Podještědí,,0.026272546085435427,,,,0.010572866310227923,POINT (14.76 50.765)
Plasy,,0.018845684404861132,0.016251543185336507,,,0.012006607708267617,POINT (13.39 49.934)
Písek,,0.03236444128625227,0.033020785600594085,0.015611807623977325,,0.01725303725332903,POINT (14.148 49.309)
Sadská,,0.03273809956645996,0.014921556275405116,0.015611807623977318,,0.014867284444091257,POINT (14.985 50.134)
Seitenstetten,,0.018389550811994636,,,,0.007214177331516546,POINT (14.655 48.036)
Sitzenberg,,0.025647000966642332,,,,0.01033368268715556,POINT (15.809 48.321)
Wels,,0.02952598135684546,,,,0.0122671425566584,POINT (14.027 48.158)
Gaming,,0.026336252015437548,,,,0.010521835232277562,POINT (15.088 47.929)
Jaroměřice nad Rokytkou,,0.01887844122789178,0.020114078675559914,,,0.01231279088571511,POINT (15.893 49.094)
Uherské Hradiště,,0.02338338861411389,,,,0.009802924838097552,POINT (17.46 49.07)
Lilienfeld,,0.011312744495798367,0.020547431373948263,0.010516197109804863,,0.013408142667746512,POINT (15.598 48.014)
Zvíkov,,0.02202257743371419,,0.011999031486111946,,0.01163512031471941,POINT (14.192 49.439)
Zwettl,,0.025355174641693345,,0.010736627778795367,,0.01274372098337665,POINT (15.169 48.607)
Eggenburg,,,0.0197713976153072,,,0.009742795745112288,POINT (15.819 48.639)
Cheb,,,0.02306347440462171,,,0.011417468026940733,POINT (12.38 50.071)
Głubczyce,,,0.02552695837732312,,,0.01331241078475516,POINT (17.829 50.201)
Havlíčkův Brod,,,0.025096875945807253,,,0.01261523629606232,POINT (15.579 49.607)
Jihlava,,,0.030554709262269057,0.01573352402830193,,0.015979601354030717,POINT (15.591 49.396)
Budyně nad Ohří,,,0.02448423770349815,0.0153338545182506,,0.014267133974848183,POINT (14.126 50.404)
Kravaře u České Lípy,,,0.01601709721425546,,,0.007843625462286353,POINT (14.392 50.632)
Litoměřice,,,0.02855744500034882,,0.0851063829787234,0.015210936126768998,POINT (14.132 50.533)
Most,,,0.014668647591431778,,,0.007175580413142894,POINT (13.636 50.503)
Poděbrady,,,0.021072078821840524,0.01984002234838984,0.08130799823243484,0.016172210743392635,POINT (15.119 50.142)
