locality,p1,p2,p3,p4,p5,pall,geometry
Praha,,487.0,850.0,758.0,195.0,2290,POINT (14.41 50.09)
Wien,170.0,261.0,181.0,191.0,,803,POINT (16.388 48.221)
Brno,,123.0,71.0,302.0,117.0,613,POINT (16.61 49.19)
Krems an der Donau,70.0,271.0,,67.0,,408,POINT (15.62 48.41)
Písek,,56.0,278.0,36.0,,370,POINT (14.148 49.309)
Linz,71.0,58.0,53.0,,,182,POINT (14.286 48.306)
Hradec Králové,,30.0,122.0,,3.0,155,POINT (15.833 50.209)
Znojmo,,17.0,65.0,61.0,,143,POINT (16.05 48.86)
Olomouc,,63.0,63.0,,16.0,142,POINT (17.252 49.596)
Budyně nad Ohří,,,94.0,27.0,,121,POINT (14.126 50.404)
Sadská,,51.0,65.0,65.0,,116,POINT (14.985 50.134)
Plasy,,63.0,49.0,,,112,POINT (13.39 49.934)
Poděbrady,,,40.0,40.0,23.0,103,POINT (15.119 50.142)
Wiener Neustadt,13.0,37.0,47.0,,,97,POINT (16.24 47.81)
Graz,,,59.0,13.0,,72,POINT (15.45 47.067)
Freistadt,,,39.0,32.0,,71,POINT (14.517 48.517)
Jihlava,,,50.0,9.0,,59,POINT (15.591 49.396)
Zbraslav,,,,58.0,,58,POINT (14.394 49.976)
Laa an der Thaya,,24.0,2.0,29.0,,55,POINT (16.384 48.728)
Głubczyce,,,55.0,,,55,POINT (17.829 50.201)
Mailberg,,,,54.0,,54,POINT (16.183 48.673)
Opava,,20.0,,,31.0,51,POINT (17.903 49.939)
Hainburg,45.0,,,6.0,,51,POINT (16.946 48.146)
Křivoklát,,16.0,10.0,24.0,,50,POINT (13.872 50.038)
Zvíkov,,25.0,,24.0,,49,POINT (14.192 49.439)
Lilienfeld,,42.0,0.0,0.0,,42,POINT (15.598 48.014)
Eggenburg,,,39.0,,,39,POINT (15.819 48.639)
Wels,,38.0,,,,38,POINT (14.027 48.158)
Vyškov,,,36.0,,,36,POINT (17 49.28)
Velehrad,,,35.0,,,35,POINT (17.395 49.105)
Stříbro,,,32.0,,,32,POINT (13.003 49.752)
Litoměřice,,,11.0,,21.0,32,POINT (14.132 50.533)
Kamýk nad Vltavou,,,,31.0,,31,POINT (14.253 49.639)
Kladruby,,29.0,,,,29,POINT (12.995 49.712)
Domažlice,,,28.0,,,28,POINT (12.93 49.44)
Beroun,,,28.0,,,28,POINT (14.073 49.964)
Uherské Hradiště,,28.0,,,,28,POINT (17.46 49.07)
Korneuburg,7.0,,,19.0,,26,POINT (16.33 48.34)
Hradec nad Moravicí,,,,,25.0,25,POINT (17.875 49.871)
České Budějovice,,,25.0,,,25,POINT (14.474 48.974)
Myšenec,,,,25.0,,25,POINT (14.208 49.223)
Zwettl,,22.0,,1.0,,23,POINT (15.169 48.607)
Loket,,23.0,,,,23,POINT (12.754 50.187)
Žatec,,,21.0,,,21,POINT (13.54 50.33)
Veveří,,,,19.0,,19,POINT (16.462 49.257)
Dobříš,,19.0,,,,19,POINT (14.175 49.783)
Havlíčkův Brod,,,18.0,,,18,POINT (15.579 49.607)
Cheb,,,18.0,,,18,POINT (12.38 50.071)
Milevsko,,,,18.0,,18,POINT (14.361 49.45)
Nižbor,,,14.0,,,14,POINT (14.003 50.002)
Uherský Ostroh,,,,13.0,,13,POINT (17.39 48.986)
Přištpo,,,,12.0,,12,POINT (15.935 49.074)
Drosendorf,,,,10.0,,10,POINT (15.622 48.866)
Jablonné v Podještědí,,10.0,,,,10,POINT (14.76 50.765)
Neuburg am Inn,,,,9.0,,9,POINT (13.405 48.518)
Bratislava,,4.0,5.0,,,9,POINT (17.103 48.142)
Jaroměřice nad Rokytkou,,,8.0,,,8,POINT (15.893 49.094)
Enns,4.0,3.0,,,,7,POINT (14.479 48.214)
Jindřichův Hradec,,,,,6.0,6,POINT (15.003 49.144)
Uničov,,,,,5.0,5,POINT (17.121 49.771)
Kravaře u České Lípy,,,5.0,,,5,POINT (14.392 50.632)
Herzogenbirbaum,,,4.0,,,4,POINT (16.251 48.519)
Traiskirchen,,,4.0,,,4,POINT (16.295 48.014)
Gaming,,4.0,,,,4,POINT (15.088 47.929)
Groißenbrunn,,4.0,4.0,,,4,POINT (16.902 48.223)
Kostanjevica na Krki,,,,4.0,,4,POINT (15.42 45.846)
Kleinweikersdorf,3.0,,,,,3,POINT (16.198 48.631)
Arnoldstein,,,,3.0,,3,POINT (13.75 46.55)
Most,,,3.0,,,3,POINT (13.636 50.503)
Marchegg,,,,2.0,,2,POINT (16.891 48.257)
Stična,,,,2.0,,2,POINT (14.806 45.957)
Villach,,,,2.0,,2,POINT (13.856 46.61)
Vracov,,,1.0,,,1,POINT (17.209 48.977)
Ljubljana,,,,1.0,,1,POINT (14.507 46.05)
Slovenj Gradec,,,,1.0,,1,POINT (15.079 46.516)
Sitzenberg,,1.0,,,,1,POINT (15.809 48.321)
Judenburg,,,,1.0,,1,POINT (14.667 47.167)
Maribor,,,,0.0,,0,POINT (15.648 46.554)
Pottendorf,,,0.0,,,0,POINT (16.388 47.91)
Friesach,,,,0.0,,0,POINT (14.326 46.984)
Seitenstetten,,0.0,,,,0,POINT (14.655 48.036)
Völkermarkt,,,,0.0,,0,POINT (14.633 46.662)
Čáslav,,,0.0,,,0,POINT (15.389 49.91)
Hartberg,,,,0.0,,0,POINT (15.97 47.281)
