locality,p1,p2,p3,p4,p5,pall,geometry
Hradec nad Moravicí,,,,,6.812896667350827,6.812896667350827,POINT (17.875 49.871)
Uničov,,,,,6.054409715240619,6.054409715240619,POINT (17.121 49.771)
Herzogenbirbaum,,,4.178542449227961,,,4.178542449227961,POINT (16.251 48.519)
Jindřichův Hradec,,,,,3.940056852381702,3.940056852381702,POINT (15.003 49.144)
Kamýk nad Vltavou,,,,3.449091474577036,,3.449091474577036,POINT (14.253 49.639)
Sadská,,2.0209948045455213,,3.1907618269983518,,2.8659173051572875,POINT (14.985 50.134)
Veveří,,,,2.7855087806709595,,2.7855087806709595,POINT (16.462 49.257)
Velehrad,,,2.7708749520683855,,,2.7708749520683855,POINT (17.395 49.105)
Zbraslav,,,,2.7414829928343525,,2.7414829928343525,POINT (14.394 49.976)
Korneuburg,2.4656054023302247,,,,,2.4656054023302247,POINT (16.33 48.34)
Głubczyce,,,2.398457434342837,,,2.398457434342837,POINT (17.829 50.201)
Milevsko,,,,2.2530281844664115,,2.2530281844664115,POINT (14.361 49.45)
Eggenburg,,,2.0900342097248203,,,2.0900342097248203,POINT (15.819 48.639)
Vracov,,,2.0227807592519738,,,2.0227807592519738,POINT (17.209 48.977)
Znojmo,,2.2434618143679983,1.9213278406093361,1.629190700249668,,1.848948890586218,POINT (16.05 48.86)
Zvíkov,,2.430786909624124,,1.2164089051084415,,1.8367971078428436,POINT (14.192 49.439)
Gaming,,1.7431227724976806,,,,1.7431227724976806,POINT (15.088 47.929)
Judenburg,,,,1.7372567455618049,,1.7372567455618049,POINT (14.667 47.167)
Vyškov,,,1.7139877479142047,,,1.7139877479142047,POINT (17 49.28)
Seitenstetten,,1.6554615670561494,,,,1.6554615670561494,POINT (14.655 48.036)
Litoměřice,,,2.623842585365543,,0.27423530042647826,1.5731029803692813,POINT (14.132 50.533)
Hainburg,1.530770061082758,,,,,1.530770061082758,POINT (16.946 48.146)
Friesach,,,,1.5146791739507062,,1.5146791739507062,POINT (14.326 46.984)
Poděbrady,,,1.9250834862524018,0.7109043536229044,,1.5042995047529595,POINT (15.119 50.142)
Praha,,0.031384709652954035,1.6866099907158851,2.051819923872466,1.0674553854845612,1.441367406319431,POINT (14.41 50.09)
Jihlava,,,1.385911950168802,0.0,,1.3698164110566065,POINT (15.591 49.396)
Písek,,2.434270527283276,1.1647772319203333,1.4577420896715583,,1.3548431643551964,POINT (14.148 49.309)
Krems an der Donau,1.1372861495488293,1.2716387065515091,,2.217631394077925,,1.264647032373931,POINT (15.62 48.41)
Wien,1.3247988526565095,0.8869277447470918,0.34690200345342753,2.0211412111160416,,1.2199824187422426,POINT (16.388 48.221)
Beroun,,,1.2164253140918477,,,1.2164253140918477,POINT (14.073 49.964)
Žatec,,,1.164953418564717,,,1.164953418564717,POINT (13.54 50.33)
České Budějovice,,,1.1354523327731518,,,1.1354523327731518,POINT (14.474 48.974)
Bratislava,,,1.0555301985258434,,,1.0555301985258434,POINT (17.103 48.142)
Brno,,0.4090990100208006,1.1499854814414883,1.3300224614623661,1.3701582693313346,0.9639927385618587,POINT (16.61 49.19)
Domažlice,,,0.9307034973609998,,,0.9307034973609998,POINT (12.93 49.44)
Laa an der Thaya,,0.9000355548532505,0.7974406746520741,0.7620764402119033,,0.9000355548532505,POINT (16.384 48.728)
Villach,,,,0.8617663242537743,,0.8617663242537743,POINT (13.856 46.61)
Havlíčkův Brod,,,0.8365180810956799,,,0.8365180810956799,POINT (15.579 49.607)
Wiener Neustadt,0.0,0.7868962441114189,1.2541110268388158,,,0.8281771497380996,POINT (16.24 47.81)
Kleinweikersdorf,,0.7861726094628583,,,,0.7861726094628583,POINT (16.198 48.631)
Freistadt,,,,0.7020954392030841,,0.7020954392030841,POINT (14.517 48.517)
Traiskirchen,,,0.6965608373107095,,,0.6965608373107095,POINT (16.295 48.014)
Graz,,,0.6958160676500644,0.8267185742913169,,0.6958160676500644,POINT (15.45 47.067)
Slovenj Gradec,,,,0.6896644111450145,,0.6896644111450145,POINT (15.079 46.516)
Stříbro,,,0.6734062666771087,,,0.6734062666771087,POINT (13.003 49.752)
Stična,,,,0.6239527225679858,,0.6239527225679858,POINT (14.806 45.957)
Jaroměřice nad Rokytkou,,,0.6200565890426264,,,0.6200565890426264,POINT (15.893 49.094)
Hradec Králové,,,0.5887962296074929,,,0.5887962296074929,POINT (15.833 50.209)
Sitzenberg,,0.5526460623888931,,,,0.5526460623888931,POINT (15.809 48.321)
Uherský Ostroh,,,,0.5491826883469415,,0.5491826883469415,POINT (17.39 48.986)
Jablonné v Podještědí,,0.5389109388386908,,,,0.5389109388386908,POINT (14.76 50.765)
Křivoklát,,1.0565181122709069,0.5778001384561957,0.3882331773560867,,0.5198797291243021,POINT (13.872 50.038)
Olomouc,,0.0,0.7090401963217601,,0.6943097291555098,0.45749863387773765,POINT (17.252 49.596)
Linz,0.20398764003067185,0.8601453365565631,1.0389884503689155,,,0.3885678846182512,POINT (14.286 48.306)
Plasy,,0.405238550179407,0.18967603960437393,,,0.3828171887467967,POINT (13.39 49.934)
Myšenec,,,,0.37776447689003184,,0.37776447689003184,POINT (14.208 49.223)
Přištpo,,,,0.3766510321239024,,0.3766510321239024,POINT (15.935 49.074)
Dobříš,,0.3722539455801608,,,,0.3722539455801608,POINT (14.175 49.783)
Kravaře u České Lípy,,,0.2918098696069061,,,0.2918098696069061,POINT (14.392 50.632)
Opava,,0.259976922052711,,,,0.259976922052711,POINT (17.903 49.939)
Kladruby,,0.23348875775934302,,,,0.23348875775934302,POINT (12.995 49.712)
Wilhelmsburg,,,0.21358136622841958,,,0.21358136622841958,
Budyně nad Ohří,,,0.16096993721874783,,,0.16096993721874783,POINT (14.126 50.404)
Wels,,0.14569145479403042,,,,0.14569145479403042,POINT (14.027 48.158)
Ljubljana,,,,0.09966192853843521,,0.09966192853843521,POINT (14.507 46.05)
Neuburg am Inn,,,,0.042851487722132396,,0.042851487722132396,POINT (13.405 48.518)
Kostanjevica na Krki,,,,0.0,,0.0,POINT (15.42 45.846)
Lilienfeld,,0.0,,,,0.0,POINT (15.598 48.014)
Most,,,0.0,,,0.0,POINT (13.636 50.503)
Cheb,,,0.0,,,0.0,POINT (12.38 50.071)
Zwettl,,0.0,,0.0,,0.0,POINT (15.169 48.607)
Uherské Hradiště,,0.0,,,,0.0,POINT (17.46 49.07)
Arnoldstein,,,,,,,POINT (13.75 46.55)
Drosendorf,,,,,,,POINT (15.622 48.866)
Enns,,,,,,,POINT (14.479 48.214)
Groißenbrunn,,,,,,,POINT (16.902 48.223)
Hartberg,,,,,,,POINT (15.97 47.281)
Loket,,,,,,,POINT (12.754 50.187)
Mailberg,,,,,,,POINT (16.183 48.673)
Marchegg,,,,,,,POINT (16.891 48.257)
Maribor,,,,,,,POINT (15.648 46.554)
Nižbor,,,,,,,POINT (14.003 50.002)
Pottendorf,,,,,,,POINT (16.388 47.91)
Völkermarkt,,,,,,,POINT (14.633 46.662)
Čáslav,,,,,,,POINT (15.389 49.91)
