,p1,p2,p3,p4,p5,pall,geometry
Praha,,38.0,82.0,76.0,18.0,214.0,POINT (14.41 50.09)
Wien,17.0,40.0,30.0,68.0,,155.0,POINT (16.388 48.221)
Brno,,14.0,11.0,32.0,8.0,65.0,POINT (16.61 49.19)
Znojmo,,2.0,21.0,17.0,,40.0,POINT (16.05 48.86)
Krems an der Donau,16.0,19.0,,3.0,,38.0,POINT (15.62 48.41)
Graz,,,23.0,10.0,,33.0,POINT (15.45 47.067)
Písek,,5.0,13.0,8.0,,26.0,POINT (14.148 49.309)
Linz,10.0,8.0,7.0,,,25.0,POINT (14.286 48.306)
Olomouc,,6.0,7.0,,1.0,14.0,POINT (17.252 49.596)
Korneuburg,13.0,,,,,13.0,POINT (16.33 48.34)
Velehrad,,,13.0,,,13.0,POINT (17.395 49.105)
Křivoklát,,4.0,5.0,3.0,,12.0,POINT (13.872 50.038)
Wiener Neustadt,2.0,2.0,7.0,,,11.0,POINT (16.24 47.81)
Poděbrady,,,4.0,7.0,,11.0,POINT (15.119 50.142)
Plasy,,6.0,5.0,,,11.0,POINT (13.39 49.934)
Freistadt,,,3.0,8.0,,11.0,POINT (14.517 48.517)
Hainburg,9.0,,,,,9.0,POINT (16.946 48.146)
Jihlava,,,7.0,1.0,,8.0,POINT (15.591 49.396)
Laa an der Thaya,,3.0,2.0,2.0,,7.0,POINT (16.384 48.728)
Hradec Králové,,,7.0,,,7.0,POINT (15.833 50.209)
Kamýk nad Vltavou,,,,7.0,,7.0,POINT (14.253 49.639)
Wels,,6.0,,,,6.0,POINT (14.027 48.158)
Wilhelmsburg,,,6.0,,,6.0,
Vyškov,,,5.0,,,5.0,POINT (17 49.28)
Zvíkov,,2.0,,3.0,,5.0,POINT (14.192 49.439)
Zbraslav,,,,5.0,,5.0,POINT (14.394 49.976)
Opava,,5.0,,,,5.0,POINT (17.903 49.939)
Kladruby,,5.0,,,,5.0,POINT (12.995 49.712)
Jablonné v Podještědí,,5.0,,,,5.0,POINT (14.76 50.765)
Litoměřice,,,2.0,,2.0,4.0,POINT (14.132 50.533)
Budyně nad Ohří,,,4.0,,,4.0,POINT (14.126 50.404)
Jaroměřice nad Rokytkou,,,4.0,,,4.0,POINT (15.893 49.094)
Judenburg,,,,4.0,,4.0,POINT (14.667 47.167)
Veveří,,,,4.0,,4.0,POINT (16.462 49.257)
Havlíčkův Brod,,,4.0,,,4.0,POINT (15.579 49.607)
Sadská,,2.0,,2.0,,4.0,POINT (14.985 50.134)
Gaming,,3.0,,,,3.0,POINT (15.088 47.929)
Myšenec,,,,3.0,,3.0,POINT (14.208 49.223)
Głubczyce,,,3.0,,,3.0,POINT (17.829 50.201)
Hradec nad Moravicí,,,,,3.0,3.0,POINT (17.875 49.871)
Eggenburg,,,3.0,,,3.0,POINT (15.819 48.639)
Traiskirchen,,,3.0,,,3.0,POINT (16.295 48.014)
Uherské Hradiště,,3.0,,,,3.0,POINT (17.46 49.07)
Slovenj Gradec,,,,3.0,,3.0,POINT (15.079 46.516)
Stična,,,,3.0,,3.0,POINT (14.806 45.957)
Ljubljana,,,,2.0,,2.0,POINT (14.507 46.05)
Sitzenberg,,2.0,,,,2.0,POINT (15.809 48.321)
Kleinweikersdorf,,2.0,,,,2.0,POINT (16.198 48.631)
Zwettl,,1.0,,1.0,,2.0,POINT (15.169 48.607)
Villach,,,,2.0,,2.0,POINT (13.856 46.61)
Uherský Ostroh,,,,2.0,,2.0,POINT (17.39 48.986)
Kostanjevica na Krki,,,,2.0,,2.0,POINT (15.42 45.846)
Neuburg am Inn,,,,2.0,,2.0,POINT (13.405 48.518)
Bratislava,,,2.0,,,2.0,POINT (17.103 48.142)
Žatec,,,2.0,,,2.0,POINT (13.54 50.33)
Most,,,2.0,,,2.0,POINT (13.636 50.503)
Beroun,,,2.0,,,2.0,POINT (14.073 49.964)
Seitenstetten,,1.0,,,,1.0,POINT (14.655 48.036)
Milevsko,,,,1.0,,1.0,POINT (14.361 49.45)
Přištpo,,,,1.0,,1.0,POINT (15.935 49.074)
Jindřichův Hradec,,,,,1.0,1.0,POINT (15.003 49.144)
Friesach,,,,1.0,,1.0,POINT (14.326 46.984)
Herzogenbirbaum,,,1.0,,,1.0,POINT (16.251 48.519)
České Budějovice,,,1.0,,,1.0,POINT (14.474 48.974)
Kravaře u České Lípy,,,1.0,,,1.0,POINT (14.392 50.632)
Cheb,,,1.0,,,1.0,POINT (12.38 50.071)
Vracov,,,1.0,,,1.0,POINT (17.209 48.977)
Stříbro,,,1.0,,,1.0,POINT (13.003 49.752)
Domažlice,,,1.0,,,1.0,POINT (12.93 49.44)
Dobříš,,1.0,,,,1.0,POINT (14.175 49.783)
Lilienfeld,,1.0,,,,1.0,POINT (15.598 48.014)
Uničov,,,,,1.0,1.0,POINT (17.121 49.771)
Arnoldstein,,,,,,,POINT (13.75 46.55)
Drosendorf,,,,,,,POINT (15.622 48.866)
Enns,,,,,,,POINT (14.479 48.214)
Groißenbrunn,,,,,,,POINT (16.902 48.223)
Hartberg,,,,,,,POINT (15.97 47.281)
Loket,,,,,,,POINT (12.754 50.187)
Mailberg,,,,,,,POINT (16.183 48.673)
Marchegg,,,,,,,POINT (16.891 48.257)
Maribor,,,,,,,POINT (15.648 46.554)
Nižbor,,,,,,,POINT (14.003 50.002)
Pottendorf,,,,,,,POINT (16.388 47.91)
Völkermarkt,,,,,,,POINT (14.633 46.662)
Čáslav,,,,,,,POINT (15.389 49.91)
