locality,p1,p2,p3,p4,p5,pall,geometry
Plasy,,63.0,49.0,,,56.0,POINT (13.39 49.934)
Mailberg,,,,54.0,,54.0,POINT (16.183 48.673)
Hradec Králové,,30.0,122.0,,3.0,51.666666666666664,POINT (15.833 50.209)
Písek,,28.0,46.333333333333336,36.0,,41.111111111111114,POINT (14.148 49.309)
Budyně nad Ohří,,,47.0,27.0,,40.333333333333336,POINT (14.126 50.404)
Eggenburg,,,39.0,,,39.0,POINT (15.819 48.639)
Sadská,,25.5,65.0,65.0,,38.666666666666664,POINT (14.985 50.134)
Praha,,37.46153846153846,31.48148148148148,42.111111111111114,39.0,36.34920634920635,POINT (14.41 50.09)
Vyškov,,,36.0,,,36.0,POINT (17 49.28)
Stříbro,,,32.0,,,32.0,POINT (13.003 49.752)
Brno,,30.75,17.75,30.2,39.0,29.19047619047619,POINT (16.61 49.19)
Kladruby,,29.0,,,,29.0,POINT (12.995 49.712)
Olomouc,,31.5,31.5,,16.0,28.4,POINT (17.252 49.596)
Uherské Hradiště,,28.0,,,,28.0,POINT (17.46 49.07)
Beroun,,,28.0,,,28.0,POINT (14.073 49.964)
Domažlice,,,28.0,,,28.0,POINT (12.93 49.44)
Głubczyce,,,27.5,,,27.5,POINT (17.829 50.201)
Krems an der Donau,14.0,33.875,,33.5,,27.2,POINT (15.62 48.41)
Linz,35.5,19.333333333333332,26.5,,,26.0,POINT (14.286 48.306)
Hainburg,45.0,,,6.0,,25.5,POINT (16.946 48.146)
České Budějovice,,,25.0,,,25.0,POINT (14.474 48.974)
Myšenec,,,,25.0,,25.0,POINT (14.208 49.223)
Zvíkov,,25.0,,24.0,,24.5,POINT (14.192 49.439)
Freistadt,,,39.0,16.0,,23.666666666666668,POINT (14.517 48.517)
Loket,,23.0,,,,23.0,POINT (12.754 50.187)
Wien,56.666666666666664,17.4,22.625,21.22222222222222,,22.942857142857143,POINT (16.388 48.221)
Žatec,,,21.0,,,21.0,POINT (13.54 50.33)
Wiener Neustadt,6.5,37.0,23.5,,,19.4,POINT (16.24 47.81)
Zbraslav,,,,19.333333333333332,,19.333333333333332,POINT (14.394 49.976)
Veveří,,,,19.0,,19.0,POINT (16.462 49.257)
Dobříš,,19.0,,,,19.0,POINT (14.175 49.783)
Wels,,19.0,,,,19.0,POINT (14.027 48.158)
Milevsko,,,,18.0,,18.0,POINT (14.361 49.45)
Cheb,,,18.0,,,18.0,POINT (12.38 50.071)
Velehrad,,,17.5,,,17.5,POINT (17.395 49.105)
Poděbrady,,,20.0,13.333333333333334,23.0,17.166666666666668,POINT (15.119 50.142)
Znojmo,,8.5,16.25,20.333333333333332,,15.88888888888889,POINT (16.05 48.86)
Kamýk nad Vltavou,,,,15.5,,15.5,POINT (14.253 49.639)
Graz,,,14.75,13.0,,14.4,POINT (15.45 47.067)
Lilienfeld,,42.0,0.0,0.0,,14.0,POINT (15.598 48.014)
Nižbor,,,14.0,,,14.0,POINT (14.003 50.002)
Laa an der Thaya,,24.0,2.0,14.5,,13.75,POINT (16.384 48.728)
Uherský Ostroh,,,,13.0,,13.0,POINT (17.39 48.986)
Korneuburg,7.0,,,19.0,,13.0,POINT (16.33 48.34)
Opava,,10.0,,,15.5,12.75,POINT (17.903 49.939)
Hradec nad Moravicí,,,,,12.5,12.5,POINT (17.875 49.871)
Přištpo,,,,12.0,,12.0,POINT (15.935 49.074)
Jihlava,,,12.5,9.0,,11.8,POINT (15.591 49.396)
Zwettl,,22.0,,1.0,,11.5,POINT (15.169 48.607)
Drosendorf,,,,10.0,,10.0,POINT (15.622 48.866)
Křivoklát,,5.333333333333333,10.0,24.0,,10.0,POINT (13.872 50.038)
Jablonné v Podještědí,,10.0,,,,10.0,POINT (14.76 50.765)
Neuburg am Inn,,,,9.0,,9.0,POINT (13.405 48.518)
Havlíčkův Brod,,,9.0,,,9.0,POINT (15.579 49.607)
Litoměřice,,,3.6666666666666665,,21.0,8.0,POINT (14.132 50.533)
Jaroměřice nad Rokytkou,,,8.0,,,8.0,POINT (15.893 49.094)
Jindřichův Hradec,,,,,6.0,6.0,POINT (15.003 49.144)
Kravaře u České Lípy,,,5.0,,,5.0,POINT (14.392 50.632)
Uničov,,,,,5.0,5.0,POINT (17.121 49.771)
