,p1,p2,p3,p4,p5,pall,geometry
Arnoldstein,0.0,0.0,0.0,0.1997264021887825,0.0,0.1997264021887825,POINT (13.75 46.55)
Beroun,0.0,0.0,0.017525828960891436,0.0,0.0,0.007623439724238538,POINT (14.073 49.964)
Bratislava,0.0,0.010061718790519165,0.02192624807465797,0.0,0.0,0.008484097160345563,POINT (17.103 48.142)
Brno,0.0,0.2667265827841023,0.12492303772743678,0.4444659006790898,0.685261106257141,0.320187417592767,POINT (16.61 49.19)
Budyně nad Ohří,0.0,0.0,0.09143227033204883,0.04246631278072683,0.0,0.0517085951550947,POINT (14.126 50.404)
Cheb,0.0,0.0,0.14653130287648053,0.0,0.0,0.07611848466203744,POINT (12.38 50.071)
Dobříš,0.0,0.029339853300733496,0.00015922425940816343,0.00015641700774264187,0.0,0.006639156869545522,POINT (14.175 49.783)
Domažlice,0.0,0.0,0.11165028410269172,0.0,0.0,0.06291189530264081,POINT (12.93 49.44)
Drosendorf,0.0,0.0,0.0,0.016568817075466855,0.0,0.004897719625789935,POINT (15.622 48.866)
Eggenburg,0.0,0.0,0.07616338142653932,0.0,0.0,0.016345755467847098,POINT (15.819 48.639)
Enns,0.02631759303680351,0.008236721108008237,0.0,0.0,0.0,0.00866606344068207,POINT (14.479 48.214)
Freistadt,0.0,0.0,0.12834737346757072,0.19034271881768378,0.0,0.06706934811379897,POINT (14.517 48.517)
Friesach,0.0,0.0,0.0,0.002523659305993691,0.0,0.0012001200120012002,POINT (14.326 46.984)
Gaming,0.0,0.01025261600253673,0.0,0.0,0.0,0.004939969188851967,POINT (15.088 47.929)
Graz,0.0,0.0,0.4122742622228748,0.04357298474945534,0.0,0.2479775185216725,POINT (15.45 47.067)
Groißenbrunn,0.0,0.002164648582831631,0.01057695838995189,0.0,0.0,0.002997898380516751,POINT (16.902 48.223)
Głubczyce,0.0,0.0,0.5147359206302888,0.0,0.0,0.20436377679088627,POINT (17.829 50.201)
Hainburg,0.1186677861740834,0.0,0.0,0.01705230353100285,0.0,0.02197695021050407,POINT (16.946 48.146)
Hartberg,0.0,0.0,0.0,0.0006830601092896175,0.0,0.00012153621779290228,POINT (15.97 47.281)
Havlíčkův Brod,0.0,0.0,0.024047543537912112,0.0,0.0,0.009669174516402668,POINT (15.579 49.607)
Herzogenbirbaum,0.0,0.0,0.00842503438789546,0.0,0.0,0.001757879065095338,POINT (16.251 48.519)
Hradec Králové,0.0,0.14620298083747338,0.1564686718516989,0.0,0.02577911185662576,0.09906519844727878,POINT (15.833 50.209)
Hradec nad Moravicí,0.0,0.0,0.0,0.0,0.14716636197440586,0.03905555106331366,POINT (17.875 49.871)
Jablonné v Podještědí,0.0,0.041708129624021116,0.0,0.0,0.0,0.008317873937615945,POINT (14.76 50.765)
Jaroměřice nad Rokytkou,0.0,0.0,0.013569042997779293,5.3312008529921365e-05,0.0,0.003830262966023429,POINT (15.893 49.094)
Jihlava,0.0,0.0,0.07074454824091862,0.014701150009315244,0.0,0.031059829432678255,POINT (15.591 49.396)
Jindřichův Hradec,0.0,0.0,0.0,0.0,0.06222508314558524,0.0033250779673454412,POINT (15.003 49.144)
Judenburg,0.0,0.0,0.0,0.005329780146568954,0.0,0.0014321518080916578,POINT (14.667 47.167)
Kamýk nad Vltavou,0.0,0.0,0.0,0.025270192659113455,0.0,0.007019783024888321,POINT (14.253 49.639)
Kladruby,0.0,0.11236498468482992,0.0,0.0,0.0,0.031118155233609394,POINT (12.995 49.712)
Kleinweikersdorf,0.013086745126550644,0.0,0.0,0.0,0.0,0.001258778036909786,POINT (16.198 48.631)
Korneuburg,0.016154126253765434,0.0,0.0,0.032320941276535425,0.0,0.01054481546572935,POINT (16.33 48.34)
Kostanjevica na Krki,0.0,0.0,0.0,0.06097560975609756,0.0,0.06097560975609756,POINT (15.42 45.846)
Kravaře u České Lípy,0.0,0.0,0.007907333888807202,0.0,0.0,0.0036091930023415012,POINT (14.392 50.632)
Krems an der Donau,0.3471616895345709,0.35415264311186856,0.0,0.13859297996427572,0.0,0.20979153541221796,POINT (15.62 48.41)
Křivoklát,0.0,0.027678698815808245,0.008400066224588493,0.03545968534906588,0.0,0.019072730573997616,POINT (13.872 50.038)
Laa an der Thaya,0.0,0.017746530780025232,0.003510594472604825,0.032774927666609936,0.0,0.017351331020936937,POINT (16.384 48.728)
Lilienfeld,0.0,0.06734591615166194,0.00016131634134537829,0.0001646022797415744,0.0,0.03179140815204586,POINT (15.598 48.014)
