,Unnamed: 0,id,no_alle,no_activity,no_reise,no_bi,no_gg,x,y,prazision,typ,noten,region0,region1,region2,Region2shortcut,region3,geometry,act_sum_p1,act_sum_p2,act_sum_p3,act_sum_p4,act_sum_p5,act_sum,day_sum_p1,day_sum_p2,day_sum_p3,day_sum_p4,day_sum_p5,day_sum,stay_avg_p1,stay_avg_p2,stay_avg_p3,stay_avg_p4,stay_avg_p5,stay_avg,stay_sum_p1,stay_sum_p2,stay_sum_p3,stay_sum_p4,stay_sum_p5,stay_sum,travel_p1,travel_p2,travel_p3,travel_p4,travel_p5,travel,centr_closes_p1,centr_closes_p2,centr_closes_p3,centr_closes_p4,centr_closes_p5,centr_closes,centr_between_p1,centr_between_p2,centr_between_p3,centr_between_p4,centr_between_p5,centr_between,centr_eigen_p1,centr_eigen_p2,centr_eigen_p3,centr_eigen_p4,centr_eigen_p5,centr_eigen,centr_infos_p1,centr_infos_p2,centr_infos_p3,centr_infos_p4,centr_infos_p5,centr_infos,infl_dist_p1,infl_dist_p2,infl_dist_p3,infl_dist_p4,infl_dist_p5,infl_dist,infl_reg_p1,infl_reg_p2,infl_reg_p3,infl_reg_p4,infl_reg_p5,infl_reg,infl_sum_p1,infl_sum_p2,infl_sum_p3,infl_sum_p4,infl_sum_p5,infl_sum,median,median_p1,median_p2,median_p3,median_p4,median_p5
Arnoldstein,14,14.0,2.0,1.0,1.0,0.0,0.0,46.55,13.75,1.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (13.75 46.55),,,,0.0,,0.0,,,,0.00395778364116095,,0.00131521262604121,,,,0.046153846153846156,,0.05357142857142857,,,,0.0,,0.0,0.0,0.0,0.0,0.4218509705997384,0.0,0.4112408176247467,,,,0.021156406061742485,,0.005081231640346448,,,,0.058609759333586135,,0.007998594013505292,,,,0.0,,0.0,,,,0.11524668626254295,,0.0025977558565453,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.001956484241293255,0.0,0.0,0.0,0.012557094851451718,0.0
Beroun,31,30.0,4.0,2.0,2.0,0.0,0.0,49.964,14.073,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.073 49.964),,,0.0,,,0.0,,,0.03317535545023697,,,0.012275317843051293,,,0.22950819672131148,,,0.5,,,0.0,,,0.0,0.0,0.0,0.0340481949257227,0.0,0.0,0.0156968210058955,,,0.35135564177099726,,,0.27303712483050707,,,0.0,,,0.0,,,0.004192445376177786,,,0.0007698297850950005,,,0.023931543036993883,,,0.017354201380419352,,,0.291112350507914,,,0.17854744809520948,0.0,0.0,0.06451612903225806,0.0,0.0,0.045454545454545456,,,0.012345679012345678,,,0.004694835680751174,0.013986069424473396,0.0,0.0,0.028553449243615428,0.0,0.0
Bratislava,42,41.0,25.0,10.0,10.0,5.0,0.0,48.142,17.103,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.103 48.142),,0.0,0.017241379310344827,,,0.013245033112582781,,0.008264462809917356,0.005924170616113744,,,0.00394563787812363,,0.06349206349206349,0.040983606557377046,,,0.08035714285714286,,0.0,0.0,,,0.016129032258064516,0.0,0.020681990703684847,0.04259708171873732,0.0,0.0,0.01746893257372376,,0.6816196326957766,0.5860070630219908,0.7860163109564147,,0.7657449138457819,,0.05579096045197735,0.12055055952346519,0.07384829676031861,,0.08810599260505601,,0.11721101196927916,0.11479588845802703,0.05326964096836646,,0.10152777153910153,,0.4690319959524901,0.5104344750089395,0.5396279285334242,,0.7492648575092049,,,0.2526072694848095,,,0.15493119154209672,0.0,0.0,0.06451612903225806,0.0,0.0,0.045454545454545456,,,0.012345679012345678,,,0.004694835680751174,0.06290584415584416,0.0,0.0382364755778311,0.053556605375497696,0.06355896886434254,0.0
Brno,45,44.0,103.0,42.0,47.0,10.0,4.0,49.19,16.61,1.0,gemeinde,,Mähren,Mähren,Brünner Teil,BT,Brünner Teil,POINT (16.61 49.19),,0.21428571428571427,0.06896551724137931,0.29411764705882354,0.45454545454545453,0.2185430463576159,,0.25413223140495866,0.08412322274881516,0.39841688654353563,0.59375,0.2687417799210872,,0.4880952380952381,0.14549180327868852,0.4646153846153846,1.0,0.5212585034013605,,0.21428571428571427,0.11538461538461539,0.5294117647058824,0.5,0.3225806451612903,0.0,0.5482598769073557,0.2426934525464431,0.9387760934217224,1.0,0.659272554659782,,0.8412803588859874,0.721556129020216,1.0,0.8558581686240792,0.9044869917521062,,0.3425141242937852,0.1051094468380418,0.4303907131226176,0.11111111111111102,0.25870107178978413,,0.23242635048028318,0.27574616056932655,0.8299220651809746,0.9089062180167913,0.6046838072407944,,0.8231793734765477,0.7827018228150179,0.9672091113256038,0.7919493413885307,0.9614667205766455,,0.16805815353537074,0.27521210934544005,0.3856153051508926,0.16760662579171856,0.14149528249585272,0.0,0.29411764705882354,0.1935483870967742,0.5333333333333333,0.45454545454545453,0.5681818181818182,,0.3333333333333333,0.12345679012345678,0.41333333333333333,0.4117647058823529,0.3004694835680751,0.4219195742813254,0.0,0.3137254901960784,0.16952009518773137,0.49701357466063345,0.546875
Budyně nad Ohří,52,51.0,8.0,4.0,4.0,0.0,0.0,50.404,14.126,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.126 50.404),,,0.034482758620689655,0.0,,0.019867549668874173,,,0.11137440758293839,0.03562005277044855,,0.0530469092503288,,,0.38524590163934425,0.4153846153846154,,0.7202380952380952,,,0.038461538461538464,0.0,,0.03225806451612903,0.0,0.0,0.17762947303170706,0.08969497807009429,0.0,0.10646907327609427,,,0.7884417942340114,0.6581035889121336,,0.6769803176491966,,,0.10782754532573798,0.0,,0.05851664472344624,,,0.1450612978312281,0.09234148090568929,,0.0895719161357426,,,0.5551514486430853,0.563037357276625,,0.6919914424477174,,,0.03852298718384183,,,0.023627238908547902,0.0,0.0,0.06451612903225806,0.0,0.0,0.045454545454545456,,,0.037037037037037035,,,0.014084507042253521,0.05578177698688752,0.0,0.0,0.10960097645433818,0.06265751542027143,0.0
Čáslav,53,52.0,5.0,1.0,1.0,2.0,1.0,49.91,15.389,1.0,gemeinde,,Böhmen,Böhmen,Ostböhmen,OB,Ostböhmen,POINT (15.389 49.91),,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.00017757358111350813,0.0,0.0,7.980584801781641e-05,,,0.6712537894977547,,,0.562209566574823,,,0.0,,,0.0,,,0.07857232398568806,,,0.028527427611633734,,,0.3555296805405266,,,0.3436293194613719,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
České Budějovice,58,57.0,5.0,1.0,1.0,2.0,1.0,48.974,14.474,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.474 48.974),,,0.0,,,0.0,,,0.02962085308056872,,,0.010960105217010083,,,0.20491803278688525,,,0.44642857142857145,,,0.0,,,0.0,0.0,0.0,0.0975388665692805,0.0,0.0,0.043644400318749124,,,0.5690270030506239,,,0.46935983043560253,,,0.06939825926033015,,,0.06326862145730976,,,0.07307741510778415,,,0.02775756890445131,,,0.2319285866263231,,,0.2168645895294289,,,0.2717340667396932,,,0.1666621979186232,0.0,0.0,0.03225806451612903,0.0,0.0,0.022727272727272728,,,0.0,,,0.0,0.03570098461160022,0.0,0.0,0.07123783718405716,0.0,0.0
Cheb,63,62.0,6.0,2.0,2.0,2.0,0.0,50.071,12.38,1.0,gemeinde,,Böhmen,Egerland,Egerland,Eg,Egerland,POINT (12.38 50.071),,,0.0,,,0.0,,,0.02132701421800948,,,0.00789127575624726,,,0.14754098360655737,,,0.32142857142857145,,,0.0,,,0.0,0.0,0.0,0.28467277491933035,0.0,0.0,0.15672954364433603,,,0.4126203524521807,,,0.3274512609752564,,,0.09629008472370819,,,0.1390586983110492,,,0.0962022653859617,,,0.03189180507610393,,,0.5047077491060713,,,0.49232520365294963,,,0.0,,,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.022727272727272728,,,0.0,,,0.0,0.02730953890168833,0.0,0.0,0.06423016495104536,0.0,0.0
Dobříš,77,76.0,2.0,1.0,1.0,0.0,0.0,49.783,14.175,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.175 49.783),,0.0,,,,0.0,,0.03925619834710744,,,,0.008329679964927663,,0.30158730158730157,,,,0.3392857142857143,,0.0,,,,0.0,0.0,0.06030844091816833,0.00030933193707004464,0.00033037528244339744,0.0,0.013670162129041697,,0.2699580496663664,,,,0.2669097981243675,,0.01730225988700554,,,,0.030903628713075188,,0.0021925655074944944,,,,0.0006754180887145672,,0.3084208772295592,,,,0.2722663507197868,,0.15292217582554726,,,,0.05463959953540738,0.0,0.058823529411764705,0.0,0.0,0.0,0.022727272727272728,,0.0,,,,0.0,0.018198717428157214,0.0,0.04903986387943607,0.00015466596853502232,0.00016518764122169872,0.0
Domažlice,83,82.0,6.0,2.0,2.0,1.0,1.0,49.44,12.93,1.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (12.93 49.44),,,0.0,,,0.0,,,0.03317535545023697,,,0.012275317843051293,,,0.22950819672131148,,,0.5,,,0.0,,,0.0,0.0,0.0,0.21690789320857398,0.0,0.0,0.12953690137634463,,,0.38540249870774557,,,0.2999036638074365,,,0.0,,,0.0,,,0.0,,,9.328702016520551e-05,,,0.0,,,0.0,,,0.2227340056179061,,,0.1366090728810218,0.0,0.0,0.03225806451612903,0.0,0.0,0.022727272727272728,,,0.0,,,0.0,0.006184302431608249,0.0,0.0,0.016129032258064516,0.0,0.0
