,region,p-1,p-2,p-3,p-4,p-5,p-all
0,Nordostniederösterreich,564,2119,2446,3259,559,8947
1,Nordsteiermark,423,9,1,250,0,683
2,Nordwestniederösterreich,2026,8072,638,2281,390,13407
3,Bayern,0,670,615,64,0,1349
4,Südostniederösterreich,1923,1246,2612,466,0,6247
5,Südwestniederösterreich,557,2010,335,200,0,3102
6,Oberösterreich,2014,3417,3377,1251,0,10059
7,Meissen,0,0,0,0,0,0
8,Ostkärnten,0,0,0,265,0,265
9,Mittelsteiermark,852,0,1898,588,0,3338
10,Italien,0,0,0,0,0,0
11,Preussen (Ausland),0,40,0,0,0,40
12,Bautzenland,0,78,0,0,0,78
13,Troppauer Teil,0,624,1483,0,1843,3950
14,Südwestböhmen,0,1639,1815,28,0,3482
15,Salzburg,0,155,0,0,0,155
16,Mittelböhmen,120,3500,3980,4097,245,11942
17,Znaimer Teil,1534,1178,2883,2561,130,8286
18,Brünner Teil,1577,3429,2432,8596,3078,19112
19,Südböhmen,1779,3514,9100,3468,190,18051
20,Westungarn,0,116,258,2866,0,3240
21,Prag,925,12084,21188,18983,4868,58048
22,Westkärnten,0,0,0,109,0,109
23,Nordböhmen,0,396,3241,753,577,4967
24,Ostböhmen,261,2261,4260,2848,1224,10854
25,Nordwestböhmen,0,125,883,0,0,1008
26,Egerland,0,0,685,0,0,685
27,Preussen,0,779,27,0,0,806
28,Olmützer Teil,614,1914,2994,11,698,6231
29,Krain,0,0,0,313,0,313
30,Südsteiermark,42,0,57,153,0,252
31,Patriarchat Aquileia,0,0,0,0,0,0
32,Ostkärnten (Ausland),0,0,0,0,0,0
33,Böhmischmährische Höhe,141,834,3660,1711,560,6906
34,Wien,4419,6705,4796,5405,255,21580
35,Nordostböhmen,0,892,3365,228,310,4795
36,Nordostmähren,0,0,0,0,0,0
37,Pollen,0,155,254,0,0,409
38,Krakauer Land,0,0,0,0,0,0
39,Rheinland,0,0,0,0,0,0
40,Niederösterreich,5,27,4,7,0,43
41,Schlesien,0,553,586,762,523,2424
42,Brandenburg,0,0,0,0,0,0
43,Südostmähren,0,825,973,456,0,2254
44,Pommern,0,154,462,0,0,616
45,Grosspolen,0,229,170,0,0,399
