,no_activity,x,y,region0,median,act_sum,day_sum,stay_avg,stay_sum,travel,centr_closes,centr_between,centr_eigen,centr_infos,infl_dist,infl_reg,infl_sum
Arnoldstein,1.0,46.55,13.75,Kärnten,0.000657606313020605,0.0,0.001,0.054,0.0,0.411,0.0,0.008,0.0,0.003,,0.0,
Beroun,2.0,49.964,14.073,Böhmen,0.013986069424473396,0.0,0.012,0.5,0.0,0.016,0.3,0.0,0.001,0.017,0.179,0.045,0.005
Bratislava,10.0,48.142,17.103,Ungarn,0.06290584415584416,0.013,0.004,0.08,0.016,0.017,0.783,0.088,0.102,0.749,0.155,0.045,0.005
Brno,42.0,49.19,16.61,Mähren,0.4219195742813254,0.219,0.269,0.521,0.323,0.659,0.918,0.259,0.605,0.961,0.141,0.568,0.3
Budyně nad Ohří,4.0,50.404,14.126,Böhmen,0.05578177698688752,0.02,0.053,0.72,0.032,0.106,0.692,0.059,0.09,0.692,0.024,0.045,0.014
Čáslav,1.0,49.91,15.389,Böhmen,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.0,0.029,0.344,,0.0,
České Budějovice,1.0,48.974,14.474,Böhmen,0.03570098461160022,0.0,0.011,0.446,0.0,0.044,0.479,0.063,0.028,0.217,0.167,0.023,0.0
Cheb,2.0,50.071,12.38,Böhmen,0.02730953890168833,0.0,0.008,0.321,0.0,0.157,0.361,0.139,0.032,0.492,0.0,0.023,0.0
Dobříš,1.0,49.783,14.175,Böhmen,0.018198717428157214,0.0,0.008,0.339,0.0,0.014,0.315,0.031,0.001,0.272,0.055,0.023,0.0
Domažlice,2.0,49.44,12.93,Böhmen,0.006184302431608249,0.0,0.012,0.5,0.0,0.13,0.329,0.0,0.0,0.0,0.137,0.023,0.0
Drosendorf,2.0,48.866,15.622,Niederösterreich,0.0030393842593483275,0.0,0.004,0.179,0.0,0.01,0.714,0.001,0.002,0.324,,0.0,
Eggenburg,1.0,48.639,15.819,Niederösterreich,0.031138497076416194,0.0,0.017,0.679,0.0,0.034,0.317,0.0,0.029,0.375,0.307,0.045,0.009
Enns,2.0,48.214,14.479,Oberösterreich,0.02401000376543585,0.007,0.003,0.062,0.016,0.018,0.573,0.076,0.03,0.53,,0.0,
Freistadt,9.0,48.517,14.517,Oberösterreich,0.10758099209019766,0.033,0.031,0.423,0.032,0.138,0.679,0.003,0.112,0.711,0.103,0.114,0.047
Friesach,4.0,46.984,14.326,Kärnten,0.0012462544393471815,0.0,0.0,0.0,0.0,0.002,0.069,0.108,0.0,0.077,0.222,0.023,0.0
Gaming,2.0,47.929,15.088,Niederösterreich,0.01644938603418896,0.0,0.002,0.071,0.0,0.01,0.559,0.0,0.042,0.43,0.256,0.023,0.009
Głubczyce,2.0,50.201,17.829,Schlesien,0.038221895208772824,0.007,0.023,0.473,0.016,0.421,0.427,0.027,0.031,0.625,0.352,0.045,0.009
Graz,39.0,47.067,15.45,Steiermark,0.152044815514646,0.132,0.031,0.254,0.065,0.511,0.432,0.02,0.154,0.828,0.102,0.25,0.15
Groißenbrunn,1.0,48.223,16.902,Niederösterreich,0.003442519208914584,0.0,0.002,0.071,0.0,0.006,0.754,0.0,0.005,0.38,,0.0,
Hainburg,5.0,48.146,16.946,Niederösterreich,0.05845974445118477,0.033,0.022,0.455,0.016,0.045,0.819,0.018,0.072,0.636,0.225,0.114,0.038
Hartberg,1.0,47.281,15.97,Steiermark,0.00012512280056226492,0.0,0.0,0.0,0.0,0.0,0.574,0.039,0.021,0.309,,0.0,
Havlíčkův Brod,3.0,49.607,15.579,Böhmen,0.03990019917389496,0.007,0.008,0.161,0.016,0.02,0.806,0.122,0.034,0.576,0.123,0.045,0.014
Herzogenbirbaum,1.0,48.519,16.251,Niederösterreich,0.014936380315200745,0.0,0.002,0.071,0.0,0.004,0.937,0.007,0.028,0.427,0.613,0.023,0.0
Hradec Králové,4.0,50.209,15.833,Böhmen,0.06806723526364035,0.02,0.068,0.923,0.032,0.204,0.555,0.044,0.061,0.696,0.086,0.068,0.028
Hradec nad Moravicí,3.0,49.871,17.875,Schlesien,0.019428152492668622,0.013,0.01,0.205,0.016,0.08,0.517,0.003,0.003,0.313,1.0,0.023,0.009
Jablonné v Podještědí,1.0,50.765,14.76,Böhmen,0.03211694408877508,0.0,0.004,0.179,0.0,0.017,0.602,0.0,0.055,0.433,0.079,0.045,0.019
Jaroměřice nad Rokytkou,2.0,49.094,15.893,Mähren,0.04863555203011429,0.0,0.004,0.143,0.0,0.008,0.843,0.052,0.045,0.555,0.091,0.068,0.014
Jihlava,7.0,49.396,15.591,Böhmen,0.10043988269794721,0.026,0.026,0.211,0.065,0.064,0.775,0.0,0.211,0.812,0.201,0.136,0.033
Jindřichův Hradec,1.0,49.144,15.003,Böhmen,0.004992225424963101,0.0,0.003,0.107,0.0,0.007,0.557,0.003,0.018,0.403,0.578,0.0,0.0
Judenburg,6.0,47.167,14.667,Steiermark,0.018862346263008513,0.02,0.0,0.018,0.0,0.003,0.246,0.165,0.001,0.206,0.255,0.045,0.014
Kamýk nad Vltavou,4.0,49.639,14.253,Böhmen,0.11253678693814533,0.013,0.014,0.277,0.016,0.014,0.737,0.266,0.066,0.609,0.506,0.159,0.028
Kladruby,2.0,49.712,12.995,Böhmen,0.03839485865045286,0.007,0.013,0.518,0.0,0.064,0.515,0.04,0.037,0.43,0.034,0.068,0.019
Kleinweikersdorf,1.0,48.631,16.198,Niederösterreich,0.02226225531115026,0.0,0.001,0.054,0.0,0.003,0.846,0.015,0.03,0.429,0.115,0.045,0.005
Korneuburg,7.0,48.34,16.33,Niederösterreich,0.05398946390267932,0.04,0.011,0.232,0.016,0.022,0.955,0.052,0.03,0.497,0.362,0.182,0.056
Kostanjevica na Krki,2.0,45.846,15.42,Krain + Aquileia,0.014674894641782059,0.007,0.002,0.071,0.0,0.126,0.19,0.133,0.001,0.102,0.0,0.023,0.005
Kravaře u České Lípy,1.0,50.632,14.392,Böhmen,0.01507933810607679,0.0,0.002,0.089,0.0,0.007,0.431,0.023,0.001,0.242,0.043,0.023,0.0
Krems an der Donau,30.0,48.41,15.62,Niederösterreich,0.2525609046308406,0.152,0.178,0.485,0.226,0.432,0.898,0.279,0.317,0.93,0.186,0.159,0.174
Křivoklát,7.0,50.038,13.872,Böhmen,0.07041215333533138,0.026,0.021,0.175,0.065,0.039,0.673,0.035,0.181,0.799,0.076,0.159,0.052
Laa an der Thaya,11.0,48.728,16.384,Niederösterreich,0.10779619460577242,0.053,0.024,0.246,0.048,0.036,0.901,0.169,0.083,0.746,0.132,0.136,0.028
Lilienfeld,4.0,48.014,15.598,Niederösterreich,0.03005960582445857,0.02,0.018,0.25,0.032,0.065,0.738,0.301,0.028,0.632,0.0,0.023,0.0
Linz,19.0,48.306,14.286,Oberösterreich,0.11386041655243669,0.093,0.079,0.462,0.097,0.498,0.637,0.086,0.115,0.838,0.057,0.182,0.113
Litoměřice,4.0,50.533,14.132,Böhmen,0.10605970119632992,0.02,0.014,0.143,0.048,0.03,0.671,0.126,0.121,0.758,0.231,0.091,0.014
Loket,1.0,50.187,12.754,Böhmen,0.007564261043973873,0.0,0.01,0.411,0.0,0.062,0.409,0.004,0.005,0.303,,0.0,
Ljubljana,1.0,46.05,14.507,Krain + Aquileia,0.01019684933507968,0.0,0.0,0.018,0.0,0.105,0.123,0.021,0.0,0.006,0.015,0.023,0.005
