id,geometry,travel,stay,diff,centroid
8452e4bffffffff,"POLYGON ((16.35541223766498 45.90514469584412, 16.15239392344926 45.78151919278556, 15.9592952043985 45.88778459528722, 15.96897130652209 46.11677397728871, 16.1711852581879 46.24030052909045, 16.36452564612126 46.13493924895676, 16.35541223766498 45.90514469584412))",0,0,0,POINT (16.16192562242735 46.01122281237915)
84524edffffffff,"POLYGON ((17.07934496493295 51.61259934425632, 16.88714564902526 51.48741205106784, 16.69743927747622 51.57599512491946, 16.69983241639785 51.7888248637498, 16.89124739013914 51.91374237003981, 17.08105153598896 51.82610148691361, 17.07934496493295 51.61259934425632))",0,0,0,POINT (16.88931025322671 51.70093874422852)
84525ebffffffff,"POLYGON ((15.7098386597691 49.87953197374048, 15.51515374745965 49.75591821473412, 15.32703555642221 49.84891216898853, 15.33343922643233 50.06460494577119, 15.52732593282798 50.18800189825411, 15.71560515025438 50.09592470063172, 15.7098386597691 49.87953197374048))",933,0,-933,POINT (15.52135467533443 49.9723021232233)
8463b25ffffffff,"POLYGON ((11.73780530158614 49.25320554324158, 11.54656861151977 49.13425823503338, 11.3685498838637 49.22569496908675, 11.38152801139263 49.43523296933777, 11.5719658847 49.5539957525606, 11.75022242074885 49.46340678761731, 11.73780530158614 49.25320554324158))",0,0,0,POINT (11.55936221621777 49.34443992761791)
8452561ffffffff,"POLYGON ((16.79990823177248 47.29663088179662, 16.59911332943568 47.17206265451497, 16.40601964272705 47.27435717762462, 16.41351676465995 47.5002983366481, 16.61350911844122 47.6247221003384, 16.80680500202807 47.5233515391716, 16.79990823177248 47.29663088179662))",29,0,-29,POINT (16.60644438605908 47.39872140299225)
8452eabffffffff,"POLYGON ((13.33727891444977 47.7595762336484, 13.14110907594285 47.63894504878842, 12.95716669895678 47.73648894175329, 12.96914639361933 47.95379804823228, 13.16451072274878 48.07428060245098, 13.34869890635123 47.97760474942051, 13.33727891444977 47.7595762336484))",0,0,0,POINT (13.15291883667338 47.85692467971403)
8452713ffffffff,"POLYGON ((19.00913210987658 49.8134932085089, 18.81187772677528 49.68587240377683, 18.6159252724529 49.78210370572239, 18.61712047367197 50.0049808442612, 18.81359052737569 50.13237242226726, 19.00964777674209 50.03711810416543, 19.00913210987658 49.8134932085089))",0,0,0,POINT (18.81286829387495 49.90948656494069)
8452545ffffffff,"POLYGON ((17.40185123570782 47.67194219457298, 17.20128497325566 47.54657098095009, 17.00709373938628 47.64824725675447, 17.01328337599074 47.87435982036308, 17.21304985721649 47.99957307174613, 17.4074245811015 47.89883406091916, 17.40185123570782 47.67194219457298))",0,0,0,POINT (17.20730284813953 47.77340821483173)
8452ea9ffffffff,"POLYGON ((13.51075106690388 47.44242097890728, 13.31377513885785 47.32164988324504, 13.12908017514457 47.42034535831039, 13.14110907594285 47.63894504878842, 13.33727891444977 47.7595762336484, 13.52222399879055 47.66174977289785, 13.51075106690388 47.44242097890728))",0,0,0,POINT (13.32563809021421 47.54092337481714)
8463b01ffffffff,"POLYGON ((12.71529157416401 50.27117325466318, 12.52468770282491 50.15109813966056, 12.34497207307846 50.24020275507611, 12.35565648679705 50.44851844489065, 12.54546290497403 50.56837894921312, 12.72538029608206 50.48013997678358, 12.71529157416401 50.27117325466318))",0,0,0,POINT (12.53517239086961 50.36006364060815)
8452431ffffffff,"POLYGON ((17.07283435047852 50.96775321011312, 16.87926499505743 50.84251674639435, 16.68889027642637 50.93320091645379, 16.69197036765165 51.14818079058012, 16.88475137124078 51.27316456037823, 17.07523861481681 51.18342283476481, 17.07283435047852 50.96775321011312))",0,0,0,POINT (16.88212521851196 51.05819863795664)
8463b6bffffffff,"POLYGON ((13.05735261287505 49.66955892605219, 12.86514946883704 49.54907579131019, 12.68384012495092 49.64037477180977, 12.69452279708974 49.85128802277058, 12.88592561546076 49.97157075613841, 13.06744404187329 49.88114236204056, 13.05735261287505 49.66955892605219))",70,1464,1394,POINT (12.87563848607713 49.76064694761857)
8452e05ffffffff,"POLYGON ((14.95766548817681 45.50328717163416, 14.75541210792016 45.38142033036151, 14.56540971401806 45.48754648652024, 14.57738703570956 45.71466543076299, 14.77883420737826 45.83644874855041, 14.96910845148506 45.73119921508198, 14.95766548817681 45.50328717163416))",0,0,0,POINT (14.76725060722465 45.60923533422002)
8452c57ffffffff,"POLYGON ((12.88070640350711 46.41975764405507, 12.68272196384701 46.29995057916148, 12.49883978581455 46.40121820983634, 12.51265891239953 46.62144379921255, 12.7098377635859 46.74114272298254, 12.8940011945054 46.64072646873439, 12.88070640350711 46.41975764405507))",0,0,0,POINT (12.69638994544589 46.52084452355663)
845255bffffffff,"POLYGON ((17.63253491722863 49.37173283629684, 17.43522282750011 49.24582877862735, 17.24196328039541 49.34222406636063, 17.2458743129228 49.56357541423195, 17.44239263597174 49.689269141526, 17.63579172942557 49.59382387455521, 17.63253491722863 49.37173283629684))",176,0,-176,POINT (17.4389361414335 49.4679003917563)
8463b19ffffffff,"POLYGON ((12.94348419359777 51.22337279818672, 12.75447972496688 51.10310680769285, 12.57518239848203 51.18939962211022, 12.58470926104078 51.39509047964398, 12.7729205377927 51.51511713442356, 12.9523960515603 51.42969371771131, 12.94348419359777 51.22337279818672))",0,0,0,POINT (12.76379510597057 51.30944353188494)
8452cc5ffffffff,"POLYGON ((11.99293932483807 47.35502886855788, 11.79787049231783 47.23600588619126, 11.6172641566468 47.33355498685618, 11.63145103463809 47.54928537173159, 11.82571670451222 47.66817494759612, 12.00659672427171 47.57146960357657, 11.99293932483807 47.35502886855788))",0,0,0,POINT (11.81189532838396 47.45239119611285)
8452e25ffffffff,"POLYGON ((14.13555702642319 44.78939060812048, 13.93305632204589 44.66874401455114, 13.7446137633915 44.77624737534306, 13.75837071728989 45.00354456547047, 13.96006632244776 45.12413173786396, 14.14880830578473 45.01748377400363, 14.13555702642319 44.78939060812048))",0,0,0,POINT (13.94668507226883 44.89672669736133)
8452cddffffffff,"POLYGON ((12.23998235960675 48.33659886973334, 12.04634161882389 48.21714339943421, 11.86597015974678 48.31188138705807, 11.87898786520802 48.52522388108079, 12.07182611241976 48.64451775663391, 12.25244715979168 48.55063264033105, 12.23998235960675 48.33659886973334))",0,0,0,POINT (12.05918435247746 48.43114028827618)
8452f13ffffffff,"POLYGON ((13.3551539369665 44.76319758917279, 13.15364805714999 44.64343800017773, 12.96720496204493 44.75024025789045, 12.98195543139633 44.97596196537062, 13.18265700082075 45.09566385027463, 13.36941064530161 44.98970431206141, 13.3551539369665 44.76319758917279))",0,0,0,POINT (13.16827059830796 44.86983528820445)
845240bffffffff,"POLYGON ((18.23106693632888 51.07286923540187, 18.03694711662502 50.94621495438936, 17.84395368401158 51.03758483721892, 17.84498894082715 51.25464673896507, 18.03832669619797 51.38103963696003, 18.23140927257769 51.29063373819127, 18.23106693632888 51.07286923540187))",0,0,0,POINT (18.03775952065362 51.16399408098861)
8452ec5ffffffff,"POLYGON ((14.66427456811789 47.50958055837383, 14.46603740340745 47.38746477445009, 14.27837511631263 47.4870369494995, 14.28871684856632 47.70783840408867, 14.48614774101003 47.82980914168475, 14.67404123359986 47.73112566411191, 14.66427456811789 47.50958055837383))",0,0,0,POINT (14.47621079722436 47.60895472086974)
8463b29ffffffff,"POLYGON ((12.31175608151377 49.61138750110985, 12.12040579741798 49.49177058376762, 11.9411237900781 49.58259514300244, 11.95296821176176 49.79218029558992, 12.14351928791799 49.91160120964497, 12.32302310709222 49.82163466965059, 12.31175608151377 49.61138750110985))",0,0,0,POINT (12.13205959927874 49.70200457850941)
84525b7ffffffff,"POLYGON ((14.03418437098104 50.69789284705953, 13.84286100538476 50.57629087871864, 13.65997409655821 50.66518605233077, 13.66823719488018 50.87479647210252, 13.85876411574206 50.99616719610453, 14.04182231101834 50.90816033426121, 14.03418437098104 50.69789284705953))",0,0,0,POINT (13.85091495546774 50.78656498656933)
84520c1ffffffff,"POLYGON ((18.95088633382761 45.66713917976541, 18.74528514229872 45.54054854999504, 18.54627706317184 45.65020713270285, 18.55266216567297 45.88551241185699, 18.75746953594649 46.01200721885059, 18.95668387423642 45.90329541193874, 18.95088633382761 45.66713917976541))",0,0,0,POINT (18.75153359744169 45.77660394366306)
8452e21ffffffff,"POLYGON ((14.35097573032714 45.13851849036769, 14.14880830578473 45.01748377400363, 13.96006632244776 45.12413173786396, 13.97320127150058 45.35095419153753, 14.17456285626753 45.47191798518389, 14.36359353937251 45.36613283683646, 14.35097573032714 45.13851849036769))",0,0,0,POINT (14.16180983243 45.24499453939185)
